rank,player_id,name,conservative_rating,rating,rd,sets_played
104,3032725,q2 | Judgy,1744.7,1942.7,99.0,73
105,266003,Smush | Burst,1741.6,1876.6,67.5,125
106,1593009,CHP | MomHunter9009,1740.8,1879.0,69.1,59
107,266015,FC | Stratas,1729.8,1837.1,53.6,237
108,1303313,Kqt | narrwall,1728.1,1922.8,97.4,27
109,1609925,MOB | Infernape,1727.4,1817.8,45.2,1575
110,229860,WKZ | Mega,1722.0,1842.6,60.3,168
111,1312764,<>< | Deception,1721.9,1843.5,60.8,191
112,278439,FC | Haze,1721.0,1838.8,58.9,108
113,2842804,Redsaw,1717.4,1862.2,72.4,518
114,1296894,GTH | Justinjpeg,1712.4,1839.7,63.6,110
115,1750056,SuperSanic21,1711.3,1826.9,57.8,136
116,390014,Reyluno,1706.1,1820.4,57.2,116
117,1751649,Syn! | D.Danger,1700.8,1799.5,49.4,882
118,147436,Hindsight,1695.8,1810.7,57.5,186
119,185802,GTH | EJJ,1693.3,1809.4,58.0,100
120,1662027,Seb Undeble,1691.4,1800.7,54.6,150
121,1022822,GRNT | Mr.L,1689.2,1849.2,80.0,71
122,1053442,Baren,1688.5,1795.6,53.6,155
123,757280,Kitty Princess,1684.7,1779.9,47.6,147
124,1648968,10K | Mulli$,1682.8,1793.6,55.4,105
125,1633924,ENC | Gabo,1682.3,1809.8,63.8,516
126,1807531,CTG | AnthonyIsntCool,1680.8,2122.6,220.9,6
127,2202094,CSH | Kayjun Lady,1678.2,1769.6,45.7,347
128,1721948,Go Rangers | Queen,1678.0,1765.2,43.6,246
129,4992539,Val,1677.2,1799.4,61.1,67
130,1591717,FrBz | Keykard,1676.4,1920.7,122.2,89
131,1157788,Glutamate,1675.2,1844.4,84.6,113
132,245443,coffeebug,1672.8,1800.7,63.9,678
133,1986069,GRNT | Jager,1672.5,1764.7,46.1,328
134,734353,WG | MintyFlesh,1672.3,1832.2,80.0,138
135,2384793,SBU | Steve,1672.2,1809.2,68.5,76
136,1655542,DeLay,1668.0,1769.2,50.6,197
137,2598045,Menbow/めんぼぉ,1666.8,1953.3,143.3,15
138,1529247,Mellow,1665.6,1787.1,60.7,106
139,2564154,Louis Dio,1664.7,1794.8,65.1,117
140,160272,BAE | YBBurrus,1664.5,1767.6,51.5,118
141,155986,Chrin / GOGO,1662.1,1828.9,83.4,442
142,2980064,MMG+ | BIG CRUMB,1661.5,1758.3,48.4,192
143,2465656,loq | gwyn,1661.3,1808.7,73.7,36
144,774806,VB3,1659.6,1767.7,54.1,134
145,649442,TK1,1659.1,1760.6,50.8,1060
146,1430481,ARIES,1657.6,1780.5,61.4,125
147,51901,Bachilles,1652.9,1766.0,56.5,112
148,2243550,StarForce,1652.8,1762.0,54.6,162
149,147886,Xioli,1645.3,1806.6,80.6,103
150,240751,Team Wex | Wex,1645.0,1745.0,50.0,248
151,1288104,SBU | vanchy,1641.9,1748.7,53.4,137
152,261142,Djohnmark,1641.0,1830.2,94.6,436
153,1902502,SBU | Saiyan Walk,1639.2,1739.9,50.4,166
154,1003161,ZXZ | The Hunter,1638.9,1846.4,103.8,58
155,1595628,FC | G-XTREME,1638.1,1829.9,95.9,222
156,1007446,E_01,1637.1,2077.8,220.4,5
157,1928105,JPN | KurtSwitch,1636.5,1809.4,86.4,68
158,4008986,LYM? | Eleventy1,1635.6,1843.5,104.0,18
159,2583231,GRNT CHP VB3 | Louie,1634.6,1727.0,46.2,201
160,800407,Tom,1633.7,1729.6,47.9,511
161,1108399,cyanzura,1621.3,1729.8,54.3,160
162,70210,TRL,1620.4,1835.1,107.3,77
163,71570,TR | SlingShot(B),1618.3,1781.7,81.7,85
164,2892291,ȺͶŦI_UNKNOWN PlȺYER,1616.4,1727.9,55.8,98
165,304973,OG | Zaphros,1609.9,1716.8,53.4,178
166,1475247,Playmaker,1609.4,1793.5,92.0,74
167,1309314,slaying mantis,1606.5,1731.2,62.4,82
168,1284430,Exia,1604.8,2021.9,208.6,5
169,285520,Blank,1604.4,1827.6,111.6,82
170,25509,OA|FC | Nexus,1603.7,1906.3,151.3,11
171,4313177,Cookies,1603.4,1720.2,58.4,92
172,1229103,MOB | Eliakim,1602.0,1795.7,96.9,691
173,265251,Deedha(B),1600.2,1721.3,60.6,89
174,1141005,Light's friend | Clive,1592.7,1718.1,62.7,120
175,39740,player 4,1592.2,1725.1,66.5,101
176,850212,Balderdash,1592.1,1693.6,50.7,236
177,1510743,MMG+ MBS | K1NG,1590.1,1702.8,56.3,124
178,1770562,MOB | Loftz,1589.4,1682.5,46.5,1171
179,864900,Newgate,1581.3,1710.5,64.6,94
180,1228156,Pado,1580.9,1703.0,61.0,498
181,3436028,Rojo | Ajred,1580.1,1691.8,55.9,127
182,4381444,YBG | Snowbunny Mind Control(A,1578.9,1659.8,40.4,300
183,1580089,DENIM CLUB | petebr0,1574.9,1818.4,121.8,14
184,2195603,charszum,1573.5,1688.3,57.4,278
185,1998572,amoxicillin | dish soap,1572.9,1749.0,88.0,40
186,219727,EZ | Killer,1571.3,1716.2,72.4,42
187,1398715,Fizzystix,1568.7,1679.6,55.5,178
188,368063,C2F | Average Alex,1565.8,1715.6,74.9,40
189,4122369,HONOR/BTE | INVINCIBLE,1564.7,1653.0,44.1,204
190,2925431,CHP | JAMES,1564.6,1758.9,97.2,86
191,33900,BxBonobo | Kamex,1564.4,1707.9,71.8,90
192,256474,dbfc | yoBBi,1562.6,1666.7,52.1,180
193,680481,LuffyMK,1561.0,1825.1,132.0,25
194,2790597,Tr4sh | $Krilldog$,1560.3,1671.3,55.5,85
195,3446093,SBU | Bluespark7,1559.3,1665.5,53.1,116
196,230304,GTH | LRA | Steven8er,1559.3,1703.4,72.1,74
197,1121293,Val,1559.2,1739.4,90.1,162
198,1307014,SOUP-E | Moat,1558.9,1694.7,67.9,174
199,4317604,WHS | BETA,1557.0,1705.3,74.2,141
200,1031044,benn 9 9 9,1556.0,1717.0,80.5,86
201,1077177,H2 | Moxort,1555.5,1809.3,126.9,14
202,1471306,FSC | GRNT | Wildogz,1555.3,1720.6,82.6,82
203,1452744,Cross,1554.8,1723.3,84.3,110
204,937364,bran,1554.5,1713.3,79.4,80
205,5099409,REV | H-Meister,1554.5,1888.4,167.0,6
206,1723671,dbfc | Caelifera,1552.7,1702.2,74.7,36
207,345023,GRNT | PC Ninja,1552.2,1656.2,52.0,849
208,3801556,Providence,1551.5,1687.5,68.0,83
209,1824970,KDE | Chappsticc,1550.8,1690.4,69.8,329
210,2151188,DumplingKing(B),1549.6,1670.3,60.4,89
211,1285194,trap queen,1549.1,1745.2,98.1,240
212,2650945,RISE|I am | The Devil,1548.8,1657.5,54.4,126
213,889148,Miss Input,1548.8,1916.2,183.7,6
214,3620456,ZeroTwoNone,1548.3,1888.8,170.3,15
215,2993602,CCNY | EOI | Ebrima(A),1547.1,1629.3,41.1,350
216,1992273,TXC | Geodash,1547.1,1657.6,55.3,94
217,1586470,Cipher,1546.9,1709.3,81.2,116
218,1811210,GTH | MBS | Bootleg,1546.3,1707.7,80.7,83
219,1191080,dbfc | LRA | Pardo,1545.4,1631.1,42.9,290
220,1728859,GRNT | Swag Master,1545.3,1679.7,67.2,127
221,1693402,Vinsmoke,1545.2,1699.6,77.2,112
222,1375338,TF0256,1544.5,1745.1,100.3,69
223,1762779,X!Akuma,1541.5,1655.2,56.8,120
224,2006693,CHP | Relaxe,1537.6,1641.3,51.9,335
225,1007323,SBU | Glial,1536.0,1654.2,59.1,108
226,3676808,q2 | Crescent | Ashi,1535.4,1928.1,196.4,6
227,1758326,ebs | $hrutik,1534.7,1788.2,126.8,20
228,612997,SCB | Tito,1532.1,1667.9,67.9,94
