rank,player_id,name,conservative_rating,rating,rd,sets_played
103,1518438,SWR | Enriquethepigeon,1515.2,1675.2,80.0,187
104,29142,SENTRY | spoop,1500.5,1751.2,125.4,19
105,45894,TTD | $N,1494.5,1599.5,52.5,175
106,1602986,SBU | BopIt!,1493.6,1600.8,53.6,250
107,1529812,FBI | MaouSilver,1493.1,1602.5,54.7,337
108,1531390,Fiestero,1492.9,1627.2,67.2,171
109,1112255,GIANT | fart,1490.6,1616.5,63.0,102
110,4557714,REV | LevelOne,1487.0,1614.0,63.5,138
111,2129156,Stelter,1484.6,1689.3,102.4,203
112,3260808,PPP | Pineapple,1483.2,1623.0,69.9,210
113,1350424,MHM | 天 | VulgarKaiju,1482.4,1599.4,58.5,675
114,2086800,RISE | Union X,1450.4,1594.1,71.9,78
115,1731974,Ryan,1442.8,1645.1,101.1,83
116,2455865,Agua,1439.2,1544.3,52.5,217
117,1036122,KDE | Koopai_,1435.5,1557.1,60.8,125
118,2024480,EVC | BB8,1435.1,1635.7,100.3,53
119,250040,ENC|MOB | LocalmanMatty,1433.0,1579.5,73.2,567
120,1750296,Protean,1431.4,1537.3,53.0,434
121,2272295,LYM? | MM | Llama,1430.1,1549.4,59.6,96
122,4584629,Ornik,1422.7,1532.6,54.9,198
123,2084157,PPA | Finraal,1420.7,1600.5,89.9,53
124,735414,DTN | Aero,1414.8,1525.3,55.2,611
125,40136,ENC | Shyguy,1410.1,1563.0,76.5,599
126,3432322,NELSON (ネルソン),1409.6,1509.2,49.8,357
127,1780695,LBE | Raybands,1405.6,1517.6,56.0,103
128,2086155,EMW Esports 2 | Lozman,1405.4,1548.6,71.6,200
129,1468611,NMDusk,1400.8,1591.8,95.5,142
130,1954010,toad(B),1400.0,1519.4,59.7,322
131,2196831,cmeonline,1390.7,1535.9,72.6,189
132,1800430,YHWH | Attaboytom,1390.6,1552.5,81.0,200
133,1593729,SwimTank | MOB | the drink,1372.4,1476.7,52.1,938
134,2473421,SwissWriter(B),1370.1,1491.2,60.6,145
135,709923,SBU | JetFire,1364.8,1474.9,55.0,115
136,129373,MOB | WontonWarrior,1353.4,1533.2,89.9,405
137,3631801,domisBUGGIN22,1347.4,1493.6,73.1,133
138,1841371,Mustard | Cozy K.(A),1327.8,1494.1,83.2,58
139,144195,mTx | MOB | SteR ThA KiiD,1321.9,1449.6,63.9,1125
140,1034801,DEWM | Mr. Reasonable,1319.2,1461.2,71.0,352
141,3107231,POP Smash | Zucaritas03,1314.6,1465.3,75.4,140
142,2609146,THE BOIS | Imapotato,1311.5,1437.2,62.8,139
143,711721,Dreagune,1301.8,1422.2,60.2,509
144,920328,Cheech,1293.3,1484.1,95.4,294
145,2466509,CV | Thale_X,1285.0,1392.8,53.9,407
146,344679,ΘF | Ginja,1274.6,1420.2,72.8,136
147,2396760,SBU | Demon Mode,1264.6,1391.0,63.2,115
148,3101298,NP | jaymo,1261.4,1380.2,59.4,194
149,467958,CTG | MMG+ | Cheara,1257.2,1412.9,77.8,75
150,46551,MOB | Relic Song,1240.6,1364.7,62.1,389
151,1257079,天 | Pryce,1213.4,1346.1,66.3,257
152,3798818,Flo,1206.6,1350.2,71.8,137
153,2705447,MOB | swiftniko,1188.1,1365.8,88.8,454
154,4157833,Deific,1181.3,1366.4,92.6,75
155,3024420,K.O.G.,1163.7,1352.6,94.4,87
156,701630,MOB | P.I.E.R.C.E,1161.0,1296.7,67.8,370
157,147845,TSG | M.Dre,1158.8,1330.2,85.7,291
158,1913227,Nindo,1155.8,1315.6,79.9,73
159,1063778,sky,1138.2,1323.3,92.5,31
160,959027,ZeXa,1133.9,1415.3,140.7,24
161,4523561,Octobro_,1119.6,1275.3,77.9,56
162,1437134,Solfege,1105.9,1265.6,79.9,113
163,1582252,ImYeah (A),1060.8,1273.1,106.1,76
164,41440,Master J.J.,1036.6,1210.2,86.8,95
165,3419888,B Team | PikachuRaichu(B),1034.1,1197.8,81.8,107
166,260300,MOB | cba,1025.3,1195.4,85.1,414
167,3238423,m?n | PHG/SJI | mom?gaming(A),1018.8,1141.3,61.3,130
168,321223,Heist | Experience,1009.1,1293.7,142.3,10
169,279753,MOB | crimson,1004.7,1163.2,79.3,442
170,982139,LuuvMiki,969.4,1158.5,94.5,88
171,2694799,Don Melon,966.8,1151.7,92.4,116
172,1996784,Dudeguy,964.1,1236.7,136.3,38
173,3471609,WOKE 2 | justrailly,800.4,1013.8,106.7,78
174,255443,KenkakuSam,771.5,995.5,112.0,165
175,4569398,Chrisdol,739.6,966.7,113.6,33
