rank,player_id,name,conservative_rating,rating,rd,sets_played
224,2129156,Stelter,1446.3,1651.4,102.6,190
225,230038,X,1442.1,1691.8,124.8,75
226,4381444,YBG | Snowbunny Mind Control,1438.6,1551.9,56.7,97
227,1580144,Madasti,1437.2,1722.1,142.5,65
228,1350424,MHM | 天 | VulgarKaiju,1432.9,1550.2,58.6,621
229,368063,C2F | Average Alex,1430.0,1728.3,149.1,8
230,1992273,TXC | Geodash,1425.1,1565.9,70.4,45
231,1625801,sorbi,1423.7,1559.0,67.7,88
232,2136075,G-Money,1423.4,1540.2,58.4,109
233,160272,BAE | YBBurrus,1423.0,1689.1,133.0,14
234,213342,PinkDocJ,1422.9,1897.9,237.5,7
235,1191080,dbfc | LRA | Pardo,1420.8,1518.1,48.6,166
236,1810011,Yikes! ebs Kqt | FD,1420.5,1819.6,199.6,6
237,3446093,SBU | Bluespark7,1419.9,1585.2,82.6,33
238,1072988,ZekeReds,1419.7,1538.9,59.6,113
239,864900,Newgate,1419.3,1688.1,134.4,13
240,1602986,SBU | BopIt!,1418.1,1530.3,56.1,178
241,4557714,REV | LevelOne,1410.0,1553.4,71.7,88
242,2024480,EVC | BB8,1408.4,1607.9,99.8,51
243,265251,Deedha,1406.5,1630.2,111.9,17
244,499319,EDLN | Salt King,1405.3,1669.5,132.1,20
245,390014,Reyluno,1404.3,1612.6,104.1,21
246,2263562,WE OUTSIDE | YoshiSonic,1403.2,1591.7,94.2,80
247,1112255,GIANT | fart,1402.2,1533.4,65.6,86
248,1731974,Ryan,1402.0,1604.8,101.4,83
249,1183244,chancla,1399.5,1534.5,67.5,73
250,2402885,BlueFlare,1395.8,1637.6,120.9,21
251,3416651,WPC | FS | Rhinestone Lady,1395.6,1576.5,90.5,27
252,63962,ENC | Ice,1395.0,1679.6,142.3,58
253,2455865,Agua,1393.5,1499.1,52.8,217
254,1510669,NotBae,1391.6,1700.0,154.2,68
255,2141410,AHRC | Aminayski,1391.3,1512.0,60.4,67
256,1246252,DUSK | Pugi,1390.3,1730.9,170.3,10
257,2650945,RISE|I am | The Devil,1387.7,1543.2,77.8,50
258,824294,ET | GODwithinAnthony,1385.1,1657.8,136.4,22
259,1750296,Protean,1382.8,1488.5,52.8,427
260,325777,MOB | COLD,1381.3,1664.3,141.5,178
261,250040,ENC|MOB | LocalmanMatty,1380.9,1529.5,74.3,535
262,1780695,LBE | Raybands,1380.6,1493.9,56.7,84
263,174987,ඞ | Caststarman,1379.7,1534.3,77.3,73
264,1011767,MBS | Sora_J,1379.3,1810.9,215.8,4
265,2086800,RISE | Union X,1378.8,1525.4,73.3,76
266,29243,ENC | Jaku,1377.6,1754.6,188.5,65
267,5512295,Raptor,1376.4,1768.1,195.8,4
268,3849122,MOB | GRNT | Chrin,1375.8,1709.1,166.6,8
269,851857,ENC | SaladDressing,1374.0,1809.3,217.6,10
270,2638518,REV | Brayden,1373.6,1681.8,154.1,8
271,1468611,NMDusk,1369.2,1560.5,95.6,142
272,735414,DTN | Aero,1369.1,1479.6,55.2,596
273,1800430,YHWH | Attaboytom,1369.0,1532.4,81.7,174
274,40136,ENC | Shyguy,1367.9,1521.0,76.5,589
275,533304,Troll_Tactics,1365.5,1624.2,129.3,13
276,2195082,MemeMasterM,1364.1,1510.2,73.0,93
277,2700639,Desimus,1363.3,1555.3,96.0,22
278,1007420,KyleTM,1362.8,1500.9,69.1,77
279,2086155,EMW Esports 2 | Lozman,1362.2,1505.5,71.7,200
280,442000,HEYO | MojoGameSlayer,1360.4,1903.4,271.5,2
281,1036122,KDE | Koopai_,1358.1,1488.7,65.3,117
282,1954010,toad(B),1353.3,1473.3,60.0,313
283,2196831,cmeonline,1352.8,1498.1,72.6,179
284,1188970,DF | kirby509,1350.0,1840.8,245.4,4
285,341914,Triple A,1347.8,1606.8,129.5,17
286,1187549,Not | L7ogz,1345.7,1757.9,206.1,4
287,1771679,ZeroTwoNone,1345.6,1801.5,228.0,5
288,2148803,PAG | SRN | Trapsef,1343.4,1524.8,90.7,102
289,70832,Oatmeal,1342.6,1637.3,147.4,24
290,2272295,LYM? | MM | Llama,1342.4,1467.9,62.7,88
291,2178506,Swaggin | Disarming5,1340.3,1639.4,149.6,12
292,1389846,Kazuto,1340.2,1482.3,71.1,92
293,3260808,PPP | Pineapple,1335.0,1505.5,85.3,85
294,1377718,Agua,1334.8,1573.7,119.5,16
295,3249566,EDLN | Octo,1334.8,1520.4,92.8,36
296,272462,Zoo,1334.3,1608.1,136.9,11
297,45894,TTD | $N,1328.6,1492.1,81.7,77
298,1012831,Jam,1327.8,1737.9,205.1,5
299,128671,QueVeen,1327.5,1735.1,203.8,7
300,3800500,Aero,1325.6,1807.4,240.9,4
301,1208753,Agua,1320.1,1583.1,131.5,75
302,4584629,Ornik,1319.7,1470.2,75.2,57
303,2925431,CHP | JAMES,1318.2,1660.6,171.2,11
304,129373,MOB | WontonWarrior,1314.9,1494.8,89.9,393
305,160229,Vent / innoxia,1314.0,1549.4,117.7,74
306,2084157,PPA | Finraal,1311.2,1500.0,94.4,42
307,4949496,SBU | Neso,1309.2,1457.2,74.0,38
308,2524731,REV | LevelOne,1307.9,1532.0,112.1,78
309,3107231,POP Smash | Zucaritas03,1306.9,1464.8,78.9,113
310,391283,AWG | Silver X,1304.4,1502.6,99.1,25
311,1593729,SwimTank | MOB | the drink,1303.7,1409.3,52.8,925
312,1971465,AOC | Dededenied,1303.1,1693.1,195.0,7
313,244598,PSG | balls,1302.5,1563.6,130.5,57
314,3533676,Maidenless | Shokaizo,1300.4,1552.6,126.1,9
315,2232029,SBU | Pineapples,1296.5,1527.3,115.4,15
316,1669160,Mr.Stein,1295.6,1452.8,78.6,77
317,3920247,Raptor,1293.1,1704.1,205.5,5
318,331195,MikeMM,1291.5,1585.1,146.8,23
319,1590243,GS/HoM | Majestic Souls,1290.6,1671.9,190.7,13
320,160068,!== | tropidolaemus,1287.0,1420.6,66.8,94
321,2084268,SBU | Griever,1281.4,1481.3,99.9,51
322,2264877,Lockhart,1281.1,1423.6,71.3,74
323,285520,Blank,1280.0,1600.7,160.3,8
324,4928847,BB8,1279.3,1738.1,229.4,4
325,1659330,SamSam,1279.2,1578.5,149.7,71
326,415239,Pong,1276.0,1585.8,154.9,11
327,3432322,NELSON (ネルソン),1275.7,1396.3,60.3,281
328,573466,WC gaming | | User,1275.0,1511.3,118.2,498
329,144195,mTx | MOB | SteR ThA KiiD,1273.8,1401.0,63.6,1103
330,1296443,CMU | stubborn,1272.6,1467.5,97.4,66
331,70210,TRL,1268.3,1728.2,230.0,4
332,2208713,backpak72,1266.7,1441.0,87.2,58
333,610275,Birch,1264.5,1479.3,107.4,61
334,131530,EON | Opana,1264.3,1556.6,146.1,75
335,1034801,DEWM | Mr. Reasonable,1262.4,1406.0,71.8,343
336,862970,muscle milk,1261.9,1479.3,108.7,27
337,1054597,Terence,1260.0,1577.0,158.5,22
338,1321838,Adam,1258.3,1656.9,199.3,22
339,250834,Abso,1253.1,1451.7,99.3,112
340,1713130,LXX,1251.9,1501.3,124.7,13
341,1307109,CHP | Razzly,1249.7,1658.7,204.5,5
342,1099914,Bimbus,1248.7,1570.3,160.8,75
343,146691,Rob Boss,1248.4,1571.2,161.4,43
344,358960,USAE | inf.escape,1247.1,1592.7,172.8,11
345,3205259,SSS | dbfc | Bardock,1245.5,1486.0,120.2,22
346,345629,PCNinja,1244.7,1560.1,157.7,28
347,4287882,Stelter,1243.7,1667.6,211.9,4
348,594904,vlz,1242.3,1459.5,108.6,19
349,711721,Dreagune,1241.3,1366.9,62.8,490
350,49915,2can,1240.8,1493.4,126.3,56
351,2334632,MOB | Lemon,1239.4,1621.1,190.9,21
352,1309314,bam adebayonetta,1238.2,1606.9,184.3,8
353,26047,Brave,1235.6,1571.2,167.8,9
354,1841371,Mustard | Cozy K.(A),1235.6,1410.7,87.6,55
355,1083418,CRG/GRNT/MXC | Vapor,1235.1,1667.7,216.3,4
356,2466509,CV | Thale_X,1234.8,1344.6,54.9,396
357,344679,ΘF | Ginja,1233.0,1416.0,91.5,94
358,2375975,Team Vars | Vars,1232.5,1500.7,134.1,17
359,3652196,Big Water,1229.7,1678.0,224.1,5
360,1964748,Fate,1227.7,1469.4,120.9,62
361,4496420,Stelter,1225.3,1646.0,210.3,4
362,2074159,SBU || CB | Chudliest Catch,1224.9,1385.4,80.3,80
363,3308794,Iona | Lubando,1222.4,1580.2,178.9,8
364,1340702,CHP | Mang0 fan,1221.7,1604.5,191.4,9
365,3005704,YT | Fatamus Ballamus,1220.4,1464.0,121.8,14
366,5501427,Raptor,1218.8,1687.3,234.2,3
367,1751700,Kimboiyachi,1217.7,1622.2,202.3,4
368,709923,SBU | JetFire,1217.2,1387.8,85.3,45
369,4060299,GSG | Reed,1216.3,1775.6,279.6,3
370,1179016,12G | MESSIAH,1215.8,1759.5,271.8,2
371,569195,UU | Mizu,1213.3,1551.5,169.1,8
372,4148594,Stelter,1211.4,1670.8,229.7,4
373,2473421,SwissWriter(B),1210.1,1375.0,82.5,79
374,2634157,POP | SparkSkill,1210.1,1417.9,103.9,117
375,1723671,dbfc | Caelifera,1209.3,1477.1,133.9,9
376,231718,Dralro,1209.0,1497.6,144.3,7
377,920328,Cheech,1208.7,1419.2,105.3,254
378,3315641,Team red | Ajred,1208.7,1449.0,120.2,41
379,4681049,GutBustr,1208.2,1403.2,97.5,49
380,3381604,No T.,1206.3,1477.6,135.6,22
381,1592950,DDC | WillMill,1203.2,1518.5,157.7,8
382,3101298,NP | jaymo,1202.6,1333.6,65.5,112
383,3605541,Aero,1199.5,1643.0,221.7,4
384,4281178,Deific,1199.0,1558.9,180.0,8
385,4148596,Stelter,1197.9,1662.8,232.4,4
386,3440801,CHP | Moat,1196.9,1658.0,230.5,4
387,612997,SCB | Tito,1194.9,1443.9,124.5,22
388,2392742,Venrid,1192.6,1375.6,91.5,61
389,1257079,天 | Pryce,1192.5,1326.6,67.1,211
390,46551,MOB | Relic Song,1190.8,1315.6,62.4,377
391,1085549,Judas Jackrabbit,1190.5,1324.3,66.9,79
392,3796224,DEW | Hailfire,1188.8,1615.0,213.1,4
393,4644446,Red Bull | LowIQRoy,1187.2,1485.5,149.1,7
394,20766,WPC | Vinylic.,1186.1,1421.2,117.5,39
395,467446,LoKi,1183.6,1868.8,342.6,1
396,1580796,Señor,1183.0,1385.6,101.3,94
397,24211,SaltyFun,1181.4,1437.3,127.9,42
398,1252101,Maxa,1180.8,1462.0,140.6,75
399,1039742,DA | Vice,1180.3,1789.8,304.7,2
400,3333888,Ornik,1179.2,1412.6,116.7,144
401,1402993,Pekkeman,1176.4,1514.3,169.0,7
402,3349086,AKUMARD,1176.1,1430.6,127.2,11
403,5297798,providence,1174.2,1584.5,205.2,4
404,171700,Dr. Bondie,1171.8,1412.3,120.3,18
405,2929199,oddeyes,1170.6,1399.2,114.3,15
406,213567,Asher,1169.8,1372.0,101.1,277
407,2326839,Jackbozz,1168.8,1517.6,174.4,13
408,250002,ATMO | Mischief,1166.4,1412.9,123.3,250
409,901519,Lui-Jesus,1165.8,1748.4,291.3,2
410,4146593,George,1163.9,1521.6,178.8,8
411,1441832,TFO256,1162.0,1596.0,217.0,6
412,5520974,PM,1160.6,1565.5,202.5,3
413,3281975,Meshy,1159.6,1543.3,191.8,7
414,2982200,Kyoma(A),1156.0,1423.4,133.7,11
415,3117153,WattMex,1154.5,1469.8,157.7,14
416,15161,Johnny Hoestar,1154.2,1398.1,122.0,47
417,3798818,Flo,1154.1,1325.4,85.6,90
418,3220848,Kelvin,1152.1,1464.1,156.0,12
419,1625762,AstroPokemonWorld,1151.6,1509.7,179.1,9
420,50963,3U | kevy,1150.2,1531.6,190.7,44
421,4157833,Deific,1147.9,1333.1,92.6,72
422,3631801,domisBUGGIN22,1147.5,1355.7,104.1,40
423,1375808,NGU | Epoodle,1146.9,1424.8,138.9,51
424,1791615,B Team | Sir sKorZington,1146.0,1268.1,61.1,88
425,2705447,MOB | swiftniko,1142.6,1322.8,90.1,432
426,1586105,GWU | Rip Van Winkle,1142.6,1462.4,159.9,17
427,330986,G I G A,1141.2,1467.3,163.1,21
428,4512313,Stelter,1140.9,1478.9,169.0,7
429,3917953,Asteria,1140.6,1510.1,184.7,7
430,1883543,The retired | Spurple IV,1133.6,1406.3,136.4,64
431,704448,Prant,1133.2,1457.1,161.9,17
432,2461532,EGF | Roundens,1131.1,1357.7,113.3,18
433,1066557,5LG | CSUF | Tact,1131.1,1556.1,212.5,4
434,134891,GRNT | Jeans,1130.8,1780.2,324.7,1
435,1017520,808s | Muted,1130.8,1780.2,324.7,1
436,701630,MOB | P.I.E.R.C.E,1127.5,1262.8,67.7,342
437,206240,CF | Phuzix,1126.7,1535.7,204.5,5
438,1091411,IHL,1124.9,1483.4,179.3,152
439,55304,Bigbuffalo,1121.7,1392.8,135.5,32
440,3765836,Stelter,1120.3,1542.3,211.0,4
441,147845,TSG | M.Dre,1119.8,1290.8,85.5,286
442,1601827,Lemon,1119.5,1588.6,234.6,8
443,235568,JAVI,1117.8,1583.8,233.0,3
444,5332482,Skratch,1117.7,1342.3,112.3,13
445,4003599,Elilyth,1117.2,1477.2,180.0,8
446,1913227,Nindo,1115.7,1278.0,81.2,73
447,2142882,Iona | FibX,1113.9,1374.2,130.2,51
448,1573466,TwoTone,1110.8,1706.8,298.0,1
449,4412243,H-Meister,1110.7,1585.2,237.3,3
450,2867051,UNH | Breb,1107.8,1338.6,115.4,15
451,1810177,HU | AquaSerenity,1107.3,1237.9,65.3,83
452,5222692,Raptor,1106.4,1452.8,173.2,5
453,2504996,sls,1104.7,1483.1,189.2,6
454,1063778,sky,1104.6,1287.8,91.6,31
455,242121,KingArc,1104.2,1479.1,187.5,7
456,1401608,</3 | wakeup,1103.8,1482.3,189.3,31
457,2456696,Arkyluky,1102.9,1550.5,223.8,4
458,3932776,Stelter,1102.3,1558.1,227.9,4
459,2923324,Dewtwo,1100.3,1318.8,109.2,34
460,5527828,Munchre,1100.2,1391.9,145.8,8
