rank,entrant_id,name,elo,sets_played
150,1053442,Baren,1679.6,155
151,1288104,SBU | vanchy,1676.4,137
152,4169797,lilpeep,1675.1,10
153,2465656,loq | gwyn,1675.0,36
154,4122369,HONOR/BTE | INVINCIBLE,1674.1,204
155,1229103,MOB | Eliakim,1671.7,691
156,1285194,trap queen,1670.6,240
157,39740,player 4,1669.8,101
158,3260808,PPP | Pineapple,1667.7,210
159,1902502,SBU | Saiyan Walk,1666.6,166
160,680481,LuffyMK,1666.1,25
161,1303313,Kqt | narrwall,1666.1,27
162,851857,ENC | SaladDressing,1665.2,66
163,1595628,FC | G-XTREME,1662.6,222
164,612997,SCB | Tito,1661.3,94
165,304973,OG | Zaphros,1661.0,178
166,1309314,slaying mantis,1658.3,82
167,1375338,TF0256,1658.3,69
168,1928105,JPN | KurtSwitch,1657.1,68
169,4689970,Free KayFlock,1657.1,8
170,1228156,Pado,1656.9,498
171,1510669,NotBae,1655.3,70
172,2195603,charszum,1653.5,278
173,1998572,amoxicillin | dish soap,1651.2,40
174,2252991,Comoli,1648.1,97
175,1648968,10K | Mulli$,1647.7,105
176,2232029,SBU | Pineapples,1646.7,60
177,265251,Deedha(B),1646.4,89
178,734353,WG | MintyFlesh,1645.5,138
179,824294,ET | GODwithinAnthony,1645.4,111
180,2151188,DumplingKing(B),1645.3,89
181,3436028,Rojo | Ajred,1645.2,127
182,3801556,Providence,1644.8,83
183,2925431,CHP | JAMES,1644.3,86
184,2892291,ȺͶŦI_UNKNOWN PlȺYER,1644.2,98
185,71570,TR | SlingShot(B),1644.2,85
186,1510743,MMG+ MBS | K1NG,1643.5,124
187,1296894,GTH | Justinjpeg,1642.6,110
188,850212,Balderdash,1640.1,236
189,4313177,Cookies,1639.8,92
190,2700639,Desimus,1639.6,78
191,1031044,benn 9 9 9,1638.1,86
192,1475247,Playmaker,1637.9,74
193,1471306,FSC | GRNT | Wildogz,1637.7,82
194,1307014,SOUP-E | Moat,1637.3,174
195,1063610,Onin,1637.2,6
196,1141005,Light's friend | Clive,1636.4,120
197,70832,Oatmeal,1636.0,46
198,230038,X,1635.9,76
199,1154793,DGS | spickles,1635.4,9
200,3446093,SBU | Bluespark7,1634.9,116
201,368063,C2F | Average Alex,1634.4,40
202,4008986,LYM? | Eleventy1,1633.8,18
203,2201580,TDC SJSU | Lammers44,1633.5,8
204,256474,dbfc | yoBBi,1633.2,180
205,325777,MOB | COLD,1632.4,204
206,1398715,Fizzystix,1630.8,178
207,1401818,Jefff,1630.6,70
208,1518438,SWR | Enriquethepigeon,1630.5,187
209,2598045,Menbow/めんぼぉ,1628.3,15
210,1121293,Val,1628.0,162
211,3620456,ZeroTwoNone,1625.5,15
212,370861,Sinai | Zenkai,1624.1,17
213,1992273,TXC | Geodash,1623.4,94
214,33900,BxBonobo | Kamex,1623.3,90
215,345023,GRNT | PC Ninja,1622.0,849
216,2167729,SCB | NinJenDo,1621.3,132
217,61785,G5 | Jack777,1620.9,24
218,219727,EZ | Killer,1620.8,42
219,4381444,YBG | Snowbunny Mind Control(A,1619.9,300
220,550127,WFP | CRB,1619.2,17
221,1762779,X!Akuma,1618.6,120
222,2129156,Stelter,1618.4,203
223,29244,DK DAN,1617.9,51
224,2087765,WU/MTLC/ML | TWITCHY!,1617.6,8
