rank,entrant_id,name,elo,sets_played
149,1070879,Trenko,1684.4,88
150,612997,SCB | Tito,1683.8,94
151,1309314,slaying mantis,1680.7,84
152,56497,Alo!,1680.0,31
153,240751,Team Wex | Wex,1679.4,262
154,39740,player 4,1677.9,98
155,1229103,MOB | Eliakim,1677.7,691
156,4169797,lilpeep,1676.0,10
157,1750056,SuperSanic21,1676.0,143
158,1721948,Wilsports | Queen,1675.7,238
159,265251,Deedha (B),1674.6,89
160,851857,ENC | SaladDressing,1673.2,69
161,1288104,SBU | vanchy,1671.1,141
162,3260808,PPP | Pineapple,1670.8,211
163,1108399,cyanzura,1670.4,160
164,1303313,Kqt | narrwall,1670.3,28
165,2252991,Comoli,1669.9,100
166,1595628,FC | G-XTREME,1669.4,226
167,680481,LuffyMK,1669.2,25
168,1228156,Pado,1667.6,503
169,1510743,MMG+ MBS | K1NG,1666.0,140
170,1375338,TF0256,1665.7,69
171,1998572,amoxicillin | dish soap,1664.8,40
172,864900,Newgate,1664.7,90
173,2195603,charszum,1664.2,278
174,4313177,Cookies,1662.8,97
175,3436028,Rojo | Ajred,1661.7,127
176,304973,OG | Zaphros,1659.3,180
177,4689970,Free KayFlock,1657.3,8
178,1510669,NotBae,1657.1,70
179,1475247,Playmaker,1656.9,76
180,824294,ET | GODwithinAnthony,1654.2,111
181,1031044,benn 9 9 9,1649.8,87
182,3801556,Providence,1649.7,79
183,1157788,Glutamate,1649.4,114
184,1992273,TXC | Geodash,1649.2,105
185,3446093,SBU | Bluespark7,1648.9,119
186,734353,WG | MintyFlesh,1648.9,138
187,1154793,DGS | spickles,1648.9,10
188,1307014,SOUP-E | Moat,1648.4,175
189,1770562,MOB | Loftz,1647.5,1161
190,1141005,Light's friend | Clive,1646.4,124
191,1398715,Fizzystix,1645.1,185
192,33900,BxBonobo | Kamex,1643.0,93
193,71570,TR | SlingShot,1642.9,83
194,1121293,Val,1640.2,164
195,1285194,trap queen,1639.5,238
196,569195,AGN | Mizu,1639.5,83
197,2700639,Desimus,1638.1,86
198,1063610,Onin,1637.5,6
199,230038,X,1637.2,76
200,1773770,GFlowZ,1637.0,136
201,4008986,LYM? | Eleventy1,1636.9,18
202,256474,dbfc | yoBBi,1635.1,186
203,2650945,RISE|I am | The Devil,1634.2,137
204,345023,GRNT | PC Ninja,1633.2,846
205,1401818,Jefff,1632.7,70
206,2925431,CHP | JAMES,1632.6,56
207,219727,EZ | Killer,1632.2,42
208,2167729,SCB | NinJenDo,1631.9,140
209,2598045,Menbow/めんぼぉ,1630.9,15
210,230304,GTH | LRA | Steven8er,1630.8,77
211,70832,Oatmeal,1630.8,41
212,3620456,ZeroTwoNone,1629.2,15
213,2402885,BlueFlare,1627.8,95
214,2084157,PPA | Finraal,1627.8,59
215,341914,Triple A,1627.3,51
216,325777,MOB | COLD,1627.3,207
217,1468611,NMDusk,1627.2,197
218,2427279,GTN | ShoKhaizo,1625.5,68
219,370861,Sinai | Zenkai,1624.8,17
220,2129156,Stelter,1624.7,209
221,499319,EDLN | Salt King,1623.3,23
222,61785,G5 | Jack777,1622.7,24
223,368063,C2F | Average Alex,1621.6,39
224,29244,DK DAN,1621.5,51
225,550127,WFP | CRB,1621.3,17
226,63962,ENC | Ice,1621.2,112
227,2201580,TDC SJSU | Lammers44,1621.1,7
228,1471306,FSC | GRNT | Wildogz,1620.0,73
229,1719545,3U | Pado,1619.8,53
230,2087765,WU/MTLC/ML | TWITCHY!,1618.9,8
231,1758326,ebs | $hrutik,1618.9,20
232,1586470,Cipher,1616.8,118
233,213342,PinkDocJ,1615.5,9
234,1811210,GTH | MBS | Bootleg,1614.5,93
235,2151188,DumplingKing (A),1612.6,90
236,1191080,dbfc | LRA | Pardo,1612.5,320
237,2790597,Tr4sh | $Krilldog$,1611.7,98
238,1928105,JPN | KurtSwitch,1611.0,80
239,850212,Balderdash,1611.0,247
240,2086155,EMW Esports 2 | Lozman,1610.5,258
241,1590243,GS/HoM | Majestic Souls,1610.3,13
242,1824970,KDE | Chappsticc,1609.1,326
243,2232029,SBU | Pineapples,1608.7,76
244,937364,bran,1608.5,81
245,1531390,Fiestero,1608.4,181
246,2993602,CCNY | EOI | Ebrima,1607.9,380
247,1183244,chancla,1607.6,104
248,576268,Suarez,1604.8,62
249,1077177,H2 | Moxort,1602.7,15
250,2996581,PUP | Myles,1601.9,6
251,1350424,MHM | 天 | VulgarKaiju,1600.8,681
252,25509,OA|FC | Nexus,1600.7,12
253,1728859,GRNT | Swag Master,1600.2,128
254,525344,SN | Tilde,1600.2,7
255,321425,Purity,1599.0,7
256,29142,SENTRY | spoop,1598.5,20
257,1250027,SnappleOK,1598.0,84
258,1518438,SWR | Enriquethepigeon,1597.9,184
259,889148,Wendys4for4,1597.8,5
260,1659330,SamSam,1596.6,71
261,2088174,GORDO | TFO256,1596.4,227
262,1321838,Adam,1596.0,27
263,272462,Zoo,1596.0,69
264,1624931,Bionicle,1594.7,17
265,1580144,Madasti,1592.6,73
266,753836,3D | Juuuuul,1592.0,8
267,3249566,EDLN | Octo,1590.0,116
268,796048,ENC | Drilago,1589.6,1179
269,4557714,REV | LevelOne,1587.4,141
270,185040,Aero,1586.7,10
271,4381444,YBG | Snowbunny Mind Control,1586.5,298
272,1007323,SBU | Glial,1586.3,115
273,2006693,CHP | Relaxe,1586.2,338
274,1731974,Ryan,1586.2,83
275,1112255,GIANT | fart,1585.9,103
276,1762779,X!Akuma,1585.8,134
277,128671,QueVeen,1584.3,38
278,1529812,FBI | MaouSilver,1583.1,333
279,252377,Slasher,1582.7,24
280,2987715,GORDO | TFO256,1582.2,7
281,1393892,Charles,1580.6,9
282,1072988,ZekeReds,1580.1,141
283,1284430,Exia,1580.0,6
284,2334632,MOB | Lemon,1579.1,22
285,1602986,SBU | BopIt!,1578.6,260
286,2086800,RISE | Union X,1577.9,82
287,5099409,REV | H-Meister,1577.2,6
288,1580089,DENIM CLUB | petebr0,1577.0,16
289,4773,Phish-it,1576.3,11
290,1564320,Bozo,1575.7,6
291,2136075,G-Money,1574.5,152
292,2178506,Swaggin | Disarming5,1574.5,60
293,261298,Booty / Karxm,1573.0,94
294,2263562,WE OUTSIDE | YoshiSonic,1571.8,82
295,3676808,q2 | Crescent | Ashi,1570.8,6
296,4644446,Red Bull | LowIQRoy,1570.6,23
297,1807531,CTG | AnthonyIsntCool,1570.0,6
298,1174400,Soul Society | LazyZach,1568.6,6
299,250040,ENC|MOB | LocalmanMatty,1568.3,564
300,467446,LoKi,1567.5,3
301,3416651,WPC | FS | Rhinestone Lady,1567.2,116
302,3631801,domisBUGGIN22,1565.1,134
303,1007446,E_01,1564.5,5
304,2035678,PeteMan23,1563.1,389
305,2272295,LYM? | MM | Llama,1562.5,96
306,427133,username,1561.8,185
307,1208753,Agua,1561.7,78
308,2024480,EVC | BB8,1561.5,53
309,620017,MBS | xiii,1560.6,74
310,1971465,AOC | Dededenied,1560.3,7
311,1099914,Bimbus,1560.3,75
312,244598,PSG | balls,1560.2,142
313,45894,TTD | $N,1559.8,189
314,1007420,KyleTM,1559.5,124
315,206240,CF | Phuzix,1559.3,8
316,520996,Tal / Onii-chan,1559.1,5
317,65808,Glentendo / Wraith,1555.9,36
318,1246252,DUSK | Pugi,1555.8,10
319,331195,MikeMM,1555.3,30
320,811118,Rigz / Kiranchi,1552.1,8
321,4584629,Ornik,1552.1,206
322,1723671,dbfc | Caelifera,1552.1,38
323,1147275,FrBz | CookieKing,1550.2,3
324,4949496,SBU | Neso,1550.2,84
325,160229,Vent / innoxia,1550.1,95
326,26047,Brave,1549.7,68
327,3849122,MOB | GRNT | Chrin,1549.1,9
328,3220848,Kelvin,1549.0,84
329,2867051,UNH | Breb,1548.5,88
330,1054597,Terence,1547.1,22
331,180459,Fence,1547.1,5
332,69946,BACKTOTHELOOT,1546.8,61
333,1771679,ZeroTwoNone,1546.8,5
334,134891,GRNT | Jeans,1544.7,5
335,442000,HEYO | MojoGameSlayer,1544.3,2
336,1736732,C-Moon,1544.1,69
337,174987,ඞ | Caststarman,1543.9,72
338,160272,BAE | YBBurrus (Note),1543.3,11
339,142720,Kiranchi,1542.9,3
340,2923324,Dewtwo,1541.2,123
341,1377718,Agua,1539.7,16
342,1308403,Wise,1539.6,6
343,1780695,LBE | Raybands,1539.2,100
344,1011767,MBS | Sora_J,1539.1,4
345,512698,gaku,1538.9,3
346,991550,PhDream,1538.5,2
347,24211,SaltyFun,1538.4,43
348,509309,gm | trafe,1538.3,4
349,2455865,Agua,1538.2,217
350,1188970,DF | kirby509,1538.1,4
351,1750296,Protean,1537.4,433
352,1013628,Bolero,1537.2,10
353,326148,DA | EMP | Venia,1537.0,4
354,1810011,Yikes! ebs Kqt | FD,1537.0,6
355,143630,Don / Clive,1537.0,5
356,1409025,Kvh,1537.0,44
357,146691,Rob Boss,1536.2,43
358,3432322,NELSON (ネルソン),1536.1,368
359,345629,PCNinja,1536.0,58
360,15161,GR | Corazón,1535.3,9
361,1187549,Not | L7ogz,1534.6,4
362,247544,OctopusMan,1534.6,2
363,1441832,TFO256,1534.3,6
364,5512295,Raptor,1533.8,4
365,2461532,EGF | Roundens,1533.6,100
366,3800500,Aero,1532.9,4
367,3308794,Iona | Lubando,1532.6,9
368,3652196,Big Water,1532.2,5
369,5354854,Geodash,1531.7,2
370,242121,KingArc,1531.2,9
371,3533676,Maidenless | Shokaizo,1529.8,9
372,3920247,Raptor,1529.0,5
373,2195082,MemeMasterM,1528.9,93
374,1083418,CRG/GRNT/MXC | Vapor,1528.3,4
375,2208713,backpak72,1528.0,60
376,1669160,Mr.Stein,1527.8,92
377,1012831,Ho Chi ZYN,1527.6,44
378,1713130,LXX,1527.4,21
379,147824,TSG | Mr.L,1526.8,11
380,4928847,BB8,1526.5,4
381,1340702,CHP | Mang0 fan,1526.1,15
382,1043822,Vestation,1525.6,79
383,1708766,p0wer,1523.9,6
384,4287882,Stelter,1523.8,4
385,4496420,Stelter,1523.7,4
386,1708879,TDV/B Team | Zedare,1523.6,124
387,3124553,Enharmonic,1523.6,112
388,862970,muscle milk,1523.2,83
389,4148594,Stelter,1523.1,4
390,1800430,YHWH | Attaboytom,1522.4,203
391,997455,8Tigre24,1522.3,2
392,3605541,Aero,1521.6,4
393,1592885,Adam,1521.5,1
394,3440801,CHP | Moat,1521.1,4
395,901519,Lui-Jesus,1521.1,3
396,45472,Council | TheBombBimbi,1520.9,1
397,2375975,Team Vars | Vars,1520.5,58
398,1601315,Azublazer,1520.2,1
399,22047,BRED,1520.2,7
400,2802053,Billio,1520.1,2
401,1565806,Charles,1520.1,1
402,1625801,sorbi,1520.0,93
403,2106082,butter,1520.0,2
404,1488238,Waypoint,1519.8,1
405,4060299,GSG | Reed,1519.4,3
406,1751700,Kimboiyachi,1519.3,4
407,339291,Ragnellrok / Tom,1519.2,3
408,391283,AWG | Silver X,1518.3,129
409,1601554,Status Quo,1518.1,1
410,4281178,Deific,1518.1,8
411,1586193,Cleaningproduct,1517.9,1
412,1573466,TwoTone,1517.8,4
413,1881101,RVN | FrBz | ttv/BlitzzNY,1517.5,1
414,2591464,TFO256,1517.4,1
415,2524731,REV | LevelOne,1517.4,111
416,3796224,DEW | Hailfire,1516.8,4
417,544841,Zio,1516.5,3
418,5297798,providence,1516.4,4
419,1066557,5LG | CSUF | Tact,1516.2,4
420,878292,C64 | TicoTico,1516.1,1
421,1285987,HF,1515.8,1
422,2008062,Pango,1515.8,1
423,4148596,Stelter,1515.7,4
424,945989,AceAttorneyist,1515.4,5
425,849725,Arc | RyuuJin,1515.4,1
426,1252101,Maxa,1515.1,86
427,1459705,ryu,1514.5,1
428,1625762,AstroPokemonWorld,1514.3,9
429,5501427,Raptor,1514.1,3
430,56946,HQ | Unknown,1514.1,14
431,1091411,IHL,1513.9,155
432,1036286,RoxasXIII,1513.3,1
433,145261,Edwin,1513.1,1
434,1738307,MikeyProHD,1513.1,1
435,2791128,franiss,1513.0,1
436,1389846,Kazuto,1512.7,117
437,850428,Flo,1512.4,1
438,1332566,USA | Kibbss,1511.9,2
439,1609844,Premasaur,1511.8,1
440,1603236,Neku (B),1511.7,37
441,1039742,DA | Vice,1511.7,61
442,49915,2can,1511.5,81
443,1274,Black Mamba,1511.3,1
444,3765836,Stelter,1511.3,4
445,434393,TR | Xsage93,1511.3,1
446,2333297,Sinbad,1511.2,1
447,1586196,Status Quo,1511.1,1
448,160068,!== | tropidolaemus,1511.0,141
449,26499,NA | Censored,1511.0,1
450,1601827,Lemon,1510.9,8
451,1441578,Happy Burns,1510.5,1
452,13612,Shuzen,1510.4,1
453,3333888,Ornik,1509.9,218
454,231718,Dralro,1509.9,24
455,62609,ZSP | Fabiio,1509.8,5
456,2636721,CURSE,1509.7,1
457,866133,CookingMama,1509.1,69
458,3281975,Meshy,1509.0,7
459,793599,Mr.Mudkip,1508.5,1
460,1017520,808s | Muted,1508.3,2
461,135614,PHNM | Storm,1508.2,5
462,2148803,PAG | SRN | Trapsef,1508.0,108
463,2716663,PWDR | SavageCube,1507.7,1
464,2196831,cmeonline,1507.5,189
465,128740,NSM | Salty Fun,1507.3,2
466,3067169,GORDO | TFO256,1507.3,1
467,1592950,DDC | WillMill,1507.2,8
468,1389046,norman,1507.1,1
469,5520974,PM,1506.7,3
470,1401608,</3 | wakeup,1506.6,31
471,1547674,MajesticLoaf,1506.6,1
472,1609419,Sky,1506.6,1
473,4412243,H-Meister,1506.4,3
474,3289922,MrDrManSir,1506.3,88
475,7596,QXTR,1506.2,1
476,4146593,George,1506.1,8
477,3932776,Stelter,1505.9,4
478,3205259,SSS | dbfc | Bardock,1505.8,74
479,4589211,Raptor,1505.8,3
480,126395,Old LTCT,1505.7,3
481,1159867,Gamez Zone | PrimeTime,1505.5,4
482,1576596,Agua,1505.5,4
483,235568,JAVI,1505.5,3
484,1686333,teej,1505.4,1
485,5358,Kamex / Papaya,1505.3,2
486,1686320,dyke,1505.3,1
487,131530,EON | Opana,1505.3,63
488,47104,thewaffleman,1504.6,1
489,183126,GODFiDENT / eviL,1503.3,14
490,2820635,Jam,1503.2,3
491,704448,Prant,1503.1,77
492,2239925,TXC | JustRice15,1503.0,31
493,3117153,WattMex,1502.8,74
494,825382,NEINx,1502.7,131
495,4027081,S,1502.6,1
496,777690,Mz. | fortyseven,1502.3,2
497,415239,Pong,1501.3,66
498,594904,vlz,1501.2,91
499,1287199,PhantomsCode,1501.0,2
500,5531108,CHP | MomHunter9009,1500.7,3
501,1375339,Sansmyman,1500.3,3
502,413400,SonicBoxx | KingJak,1500.1,2
503,1713927,T.TVRussell_Senpai,1500.0,3
504,2797430,おーど/OWD,1499.7,3
505,2264877,Lockhart,1499.7,103
506,4148593,Stelter,1499.3,3
507,344679,ΘF | Ginja,1499.1,135
508,4369445,cmeonline,1498.9,3
509,29507,21S | Skyhook,1498.6,2
510,147707,CCC | Rudy,1498.5,4
511,1402993,Pekkeman,1498.2,7
512,2384154,Eco,1497.8,2
513,2456696,Arkyluky,1497.7,5
514,40136,ENC | Shyguy,1497.6,602
515,3892820,Gyler,1497.5,3
516,1601547,Zio,1497.2,2
517,995288,BeerdGamer,1496.6,8
518,1669057,69 haha | Smoools,1495.9,1
519,1686336,doc,1495.5,1
520,1085224,slate,1495.4,7
521,4003599,Elilyth,1494.7,8
522,2504996,sls,1494.6,6
523,1145719,Toad,1494.5,9
524,3340631,GojiTheYoshi,1494.2,2
525,282201,ev,1494.2,1
526,217589,Fordham,1493.0,2
527,3761380,GORDO | TFO256,1492.8,1
528,3503498,Cylo,1492.7,3
529,2929199,oddeyes,1492.3,85
530,2183963,HxH/MS | Onion-QTπ,1492.1,2
531,5332482,Skratch,1492.0,7
532,1837859,Yaliso,1492.0,1
533,1650939,Jay Razor,1491.9,4
534,684306,Cipher / Drewsephix,1491.8,56
535,4512313,Stelter,1491.6,7
536,4632807,thederpybird,1491.5,3
537,1964748,Fate,1491.1,67
538,2996650,JRaz16,1490.7,71
539,1307109,CHP | Razzly,1490.3,69
540,2141410,AHRC | Aminayski,1490.2,138
541,2638518,REV | Brayden,1490.0,71
542,2553722,SwordDominant,1489.6,1
543,1162631,HDNights,1489.6,1
544,1580943,Gatsby,1489.5,1
545,1586204,Gatsby,1489.4,1
546,606124,SSF2 | PlayfulPiano,1489.3,3
547,5222692,Raptor,1488.9,5
548,1602018,bye,1488.7,1
549,2406431,Angelmedra,1488.6,1
550,2316067,Rockyino,1488.5,1
551,1647187,boi,1488.3,1
552,1638905,George,1488.3,1
553,1658573,Source Code,1488.1,1
554,3722643,Lilac Rain,1488.1,4
555,533304,Troll_Tactics,1487.9,68
556,5341266,GuyGagné,1487.7,7
557,2996636,SK | Zeijus,1487.6,7
558,20766,WPC | Vinylic.,1487.3,45
559,1251115,Eli,1486.9,1
560,1507859,Adam,1486.9,1
561,677867,JazzerThighs,1486.8,3
562,1806789,TAMUC | Master byron,1486.8,7
563,1364219,GRNT | summitsun,1486.7,11
564,2478946,CCNY | Ado,1486.7,1
565,1593729,SwimTank | MOB | the drink,1486.5,929
566,1616525,coffee,1486.5,1
567,2385010,Hope..,1486.5,1
568,1179016,12G | MESSIAH,1486.5,9
569,2053683,VikVaughn,1486.3,3
570,257973,Mulldrifter,1485.8,1
571,2962351,Pado,1485.8,1
572,2714496,Kevo360,1485.7,135
573,4109077,Player 2,1485.6,2
574,5405967,jacob,1485.5,2
575,1444927,Egg,1485.4,1
576,788383,SaladDressing / CampMonster,1485.4,2
577,250002,ATMO | Mischief,1485.2,252
578,5143467,Rey5,1485.2,1
579,2934899,Itachi,1485.1,1
580,5354845,Nate,1485.0,1
581,2359863,George,1485.0,1
582,231660,Orion,1484.9,1
583,2619317,Finesu!,1484.9,1
584,2155538,OE | zawg,1484.6,2
585,509977,Dabble,1484.6,72
586,1491803,Feet | boi,1484.4,1
587,5354851,Seek,1484.3,1
588,2220198,Sylonma,1484.0,1
589,404668,TCaP | Green Marth,1484.0,106
590,1599016,Bwa,1483.9,1
591,5010975,Toxic,1483.9,2
592,1666428,Quick silver,1483.8,1
593,2342205,HBK | Havoc,1483.8,1
594,1787007,GWU | NC2 | | chicken,1483.7,21
595,3613119,Starzz,1483.7,1
596,2436632,flimbus,1483.7,1
597,3843622,tastehercoffee,1483.6,1
598,5354849,TK1,1483.6,1
599,3173262,Stan,1483.3,1
600,2559661,Willy D,1483.0,1
601,2716367,IONA | Moat,1483.0,1
602,1261375,TSM | Wylder,1482.9,101
603,1171789,VL | Winter,1482.8,2
604,5354852,DJ Gasmask,1482.8,1
605,1009070,Ego | TAMU-C | Maple,1482.7,7
606,702928,George,1482.6,1
607,3983067,George,1482.3,1
608,2731888,Cartoon,1482.2,1
609,250834,Abso,1482.2,117
610,2010983,ScottGreene,1482.0,3
611,5354847,Jacob,1481.9,1
612,2935350,Shmoneyman,1481.9,1
613,5354859,Fayd,1481.8,1
614,2638577,IDk,1481.7,1
615,1827892,Wilsports | Leiothrix,1481.7,15
616,2811030,LuminaryEnds,1481.7,2
617,4310353,aidepole,1481.6,2
618,1437154,TammEsports | toastly!,1481.3,10
619,1589984,Gatsby,1481.3,2
620,326428,SoDa,1481.3,3
621,224062,Nick,1481.2,2
622,1655862,Blue,1481.2,1
623,1661879,annieruok,1481.0,1
624,5143466,Mehtars,1480.7,1
625,2465456,Silver,1480.7,1
626,1139807,DakuSky,1480.7,2
627,2522543,Seesay,1480.4,1
628,1249968,El Bicho,1480.4,1
629,4870078,VRT | lakia,1480.4,2
630,250838,Sky | Skydierf,1480.3,3
631,3903890,FBI | MaouSilver,1480.1,2
632,4377412,Hatsune Miku,1480.0,1
633,1601730,kogsatsu,1479.9,1
634,1592904,Kenken,1479.8,2
635,1375808,NGU | Epoodle,1479.7,58
636,1034801,DEWM | Hailfire,1479.7,358
637,2791464,franiss,1479.6,1
638,1340822,Jusst_Jesse,1479.4,2
639,3384296,Luna,1479.3,3
640,1440439,Rara,1479.1,2
641,3892624,UG-MAN,1479.1,2
642,450353,Smooth,1479.1,6
643,1895714,redbird,1478.7,1
644,2201016,Ritual,1478.5,1
645,3955123,Ganondong,1478.5,5
646,3205092,REV | MetalGearFear,1478.4,5
647,4629246,Fiestero,1478.4,2
648,265022,VentoLivre,1478.2,1
649,67166,Figs / IamLuffytv,1478.2,7
650,1686282,megacam1,1478.0,1
651,3605518,francis,1478.0,7
652,1586105,GWU | Rip Van Winkle,1477.9,17
653,981778,0-2 | Trapinch,1477.8,61
654,4018244,aqua,1477.7,6
655,1023844,WiseMansGame,1477.3,1
656,1599063,DJ,1477.0,4
657,5342631,mTx | MOB | SteR ThA KiiD,1476.5,2
658,4630950,TDB | ThatDerpyBird,1476.1,2
659,3252832,George,1476.1,1
660,4685,vortex,1476.1,2
661,2163265,SFAM | VGY | Nishiro,1475.7,2
662,1321120,Fire Guts | Kuuga,1475.6,4
663,713123,Rockyino,1475.5,5
664,4369447,cmeonline,1475.2,6
665,57305,CaesarTheSalad,1475.1,1
666,3907225,UG,1475.0,6
667,4614325,PEAK | MBS | Seel,1474.5,2
668,2923257,AGENTSLYFOX,1474.5,1
669,4741366,Breeze,1474.3,2
670,50963,EnbyFish,1474.1,66
671,1609380,Blue,1473.9,1
672,3676876,NikoTheFox,1473.8,2
673,2472231,Sky,1473.7,1
674,2084268,SBU | Griever,1473.7,51
675,4281177,Deific,1473.5,2
676,1475381,TSP | ThitKho,1473.4,3
