rank,entrant_id,name,elo,sets_played
149,452907,Reilly,1719.3,142
150,1703174,SJU | Taiyo,1717.4,98
151,152534,EMPIRE | SoulArts,1715.5,253
152,1650136,SBU | Amayne,1715.4,159
153,390014,Reyluno,1714.9,108
154,999566,FzP | LRA | TabSoda,1714.6,116
155,1452744,Cross,1714.3,106
156,34446,Bowler,1714.1,81
157,1802684,TorqueDawg,1713.9,82
158,1031199,Obmcbob (B),1713.4,98
159,1825040,GTH | vitz,1713.3,246
160,1069395,NS | Agency | Zoboomafoo,1712.3,81
161,15889,FC | Mr. E,1712.2,418
162,1700217,RW | Floppyfail,1711.8,384
163,16113,Raptor,1710.8,312
164,1480033,Gh0st,1710.7,197
165,261142,Djohnmark,1708.8,436
166,586229,Jules,1706.6,74
167,3919918,Revo (B),1704.6,90
168,3743679,Shon | שון,1703.3,181
169,49302,WU | Peabnut,1703.2,21
170,51901,Bachilles,1702.9,127
171,1868170,NS | BeastModePaul,1702.7,19
172,2978333,WW | Fader,1698.8,90
173,375087,ML/MRL/BH | JaZaR,1698.5,14
174,2286649,LRA | Quandale Dinglelingleton,1698.3,70
175,1593009,CHP | MomHunter9009,1695.7,76
176,1312764,<>< | Deception,1695.0,185
177,2516567,4Freddy! | Hikari,1694.6,265
178,155986,Chrin,1694.5,437
179,147436,Hindsight,1693.1,180
180,2324329,GRNT | Virgo,1690.9,81
181,4008986,Eleventy1,1690.2,89
182,1835094,Night,1688.8,71
183,1609925,MOB | Infernape,1688.1,1552
184,380159,IMP | Zaxel,1687.8,166
185,1793104,MiikeFromTheBronx,1685.1,101
186,156255,Erin,1685.1,136
187,1693402,Vinsmoke,1684.5,103
188,1624931,Bionicle,1684.2,89
189,3321192,FzP | Zuhiy,1683.4,185
190,2426029,F5 | Lipden,1682.4,88
191,1655542,DeLay,1682.1,163
192,47475,Jukain,1682.1,81
193,1045932,Mercury,1682.0,15
194,719390,500k or dinner w/ ABE-Z?,1681.9,90
195,55858,sleet.gg | CheesyPotato,1679.8,11
196,63605,NBG | Pelca,1679.6,76
197,252976,red berpo,1679.5,83
198,2352081,TheRam,1678.4,81
199,2585781,NS | Wilsports | Overdr1ve,1677.8,80
200,1005245,SUPERSUISEIFAN312,1677.6,91
201,2243550,StarForce,1677.6,156
202,12778,Grapezard X / Beastly,1676.6,87
203,3716419,Libré,1675.6,80
204,278439,FC | Haze,1675.4,101
205,147886,Xioli,1675.1,106
206,1803620,ZASE | ZBosGaming,1674.6,88
207,1247262,ƒяєє αgєηт | TM7_ZAP,1674.5,10
208,1662027,Seb Undeble,1674.2,147
209,131490,C2F | Grunk,1673.5,107
210,245443,coffeebug,1673.0,677
211,4169797,lilpeep,1672.9,10
212,2087765,CSU | ML | TWITCHY!,1672.7,76
213,499319,EDLN | Salt King,1672.6,97
214,1529247,Mellow,1672.3,114
215,160272,BAE | YBBurrus,1672.2,94
216,2986120,mudd,1672.0,11
217,3254796,FF HONOR ML | Nimrod,1671.3,13
218,216617,WIN | Lima,1671.3,16
219,774806,VB3,1670.9,140
220,1605499,Luigikid64,1669.9,112
221,1229103,MOB | Eliakim,1669.5,752
222,1986069,GRNT | Jager,1669.3,301
223,2202094,Kayjun Lady,1667.8,332
224,408064,PRC,1667.4,98
225,2334632,ENC | Lemon,1667.3,94
226,53621,Ho3K | John Numbers,1667.2,160
227,3541583,King,1667.1,23
228,29142,SENTRY | spoop,1667.0,92
229,1727992,CRIMSON DIH,1666.8,95
230,684306,Drewsephix,1666.3,137
231,1556770,CX | Gamer,1666.3,82
232,1296894,GTH | Justinjpeg,1664.8,106
233,594478,CU | Skink?,1664.6,81
234,131374,CS3 | Andrik,1663.8,13
235,2583231,GRNT CHP VB3 | Louie,1663.7,206
236,800407,Tom,1663.0,496
237,44865,CTG | MuteAce,1662.9,14
238,1738277,WHOxM / SirDunk,1662.9,122
239,1022822,GRNT | Mr.L,1661.7,83
240,38830,BLZE | Avery!,1661.6,83
241,4317604,WHS | BETA,1661.5,136
242,1071318,UD | MPg,1661.5,20
243,1112678,GRNT | FroggySTYL,1661.0,221
