rank,entrant_id,name,elo,sets_played
145,1150960,FG | BlazingBoy,1795.8,57
146,1141497,matt,1793.9,81
147,1700217,RW | Floppyfail,1793.5,449
148,1005216,GRNT | Serta,1793.4,186
149,758335,MBS | Z minus,1792.8,81
150,1274182,PTM | PK Freeze,1790.9,63
151,1031199,Obmcbob (B),1790.3,100
152,1525089,RLz | Krugbo,1789.9,88
153,3716419,Libré,1784.9,41
154,16113,Raptor,1783.6,307
155,71079,HyperKirby,1782.8,43
156,1370191,EMW Esports 2 | KingP,1779.6,52
157,774806,VB3,1778.2,139
158,1779817,AlphaBorb,1777.2,72
159,1187180,smub,1777.0,31
160,53020,Draxsel,1776.7,59
161,452907,Reilly,1776.5,157
162,2384793,SBU | Steve,1776.4,76
163,6301,Team Vars | Rivers,1775.8,29
164,1803620,ZASE | ZBosGaming,1775.4,195
165,2978333,WW | Fader,1775.3,72
166,1003161,ZXZ | The Hunter,1775.1,69
167,380159,IMP | Zaxel,1774.1,155
168,1661301,obesefart,1773.1,78
169,1593009,CHP | MomHunter9009,1772.8,61
170,328739,FZP | EO,1772.0,159
171,1710348,Nimbus,1771.8,75
172,1684008,AFAS Bloom | Hyacinthia,1770.5,172
173,1541928,TFCR | Parkinja,1769.5,31
174,266015,FC | Stratas,1769.1,234
175,913225,Rider | G4G | tf j,1767.9,114
176,780256,NiP,1767.1,660
177,1156328,DU | Moony,1766.5,49
178,1802684,TorqueDawg,1766.0,95
179,1793104,MiikeFromTheBronx,1765.5,61
180,3032725,q2 | Judgy,1765.0,67
181,1312764,<>< | Deception,1763.8,197
182,1430481,ARIES,1763.3,125
183,1825040,GTH | vitz,1758.5,250
184,155986,Chrin / GOGO,1756.6,451
185,67389,Liyrex,1755.6,71
186,2636165,OE | G4G | KAZÍÍ,1755.2,109
187,2194631,yeehaw,1753.6,70
188,1055253,585Z | Clibs,1752.9,180
189,2892291,ȺͶŦI_UNKNOWN PlȺYER,1752.6,96
190,147483,HypestTown,1749.5,49
191,51901,Bachilles,1749.3,123
192,3694907,G4G | Sentinel,1749.2,147
193,29243,ENC | Jaku,1749.0,102
194,4992539,Val,1748.5,72
195,719390,CHP | Conor McGregor,1747.2,27
196,1809569,RyandotSly,1746.3,81
197,2857352,ANTSAM | ScuffedHits,1746.2,78
198,997249,MBS | MEGA CHAD,1744.2,57
199,318918,Council | Diamond,1743.5,89
200,1609925,MOB | Infernape,1742.7,1558
201,229860,WKZ | Mega,1742.2,175
202,2202094,CSH | Kayjun Lady,1741.4,360
203,147436,Hindsight,1740.4,189
204,3029296,fg / DC3 | Mikey!,1740.2,80
205,1089023,LittleMacMain / HunterWinthorpe,1739.0,57
206,2352081,TheRam,1738.8,114
207,47475,Jukain,1737.7,97
208,606386,CJFrozen / Dany,1737.6,19
209,1720410,FS | TJ13,1737.3,45
210,2858096,PUP | myles,1737.2,21
211,358345,Bloom | ZG,1736.0,121
212,10212,BLZE | Aryeh,1735.6,68
213,155564,FzP | TR | Hydra,1735.3,21
214,1452744,Cross,1735.1,110
215,657781,Schmeat | WheeZy,1735.0,44
216,3919918,Revo (B),1733.3,62
217,148134,TTD | SWISH,1732.9,95
218,885991,自由 | PsyKoD(A),1732.8,35
219,1727992,CRIMSON DIH,1732.4,171
220,1693402,Vinsmoke,1732.4,110
221,278439,FC | Haze,1731.6,108
222,2286649,Quandale Dinglelingleton,1730.5,33
223,261142,Djohnmark,1730.2,437
224,1409030,HW | ...Insignia,1729.3,27
225,5029272,MCU | | Matt MurDoc,1727.7,56
226,3353422,EMW Esports 2 | Tomodachi Wife,1726.2,105
227,285520,Blank,1725.9,82
228,2243550,StarForce,1725.6,173
229,147588,CS | Lu,1725.5,121
230,1529247,Mellow,1725.0,100
231,1633924,ENC | Gabo,1724.5,519
232,1805037,THR l GRNT | TWICE,1724.0,168
233,937157,CCS | Saber_Wolf,1723.8,77
234,989934,716 | KingCoreyFTW,1721.8,124
235,267047,FSF | Zach,1721.4,40
236,147886,Xioli,1720.5,106
237,1835094,Night,1719.4,99
238,1751649,Syn! | D.Danger,1717.9,873
239,1662027,Seb Undeble,1717.6,152
240,800407,Tom,1717.1,524
241,131490,C2F | Grunk,1716.5,88
242,649442,TK1,1716.3,1063
243,146828,TCT | Naga,1715.9,75
244,71401,UtopianRay,1715.6,132
245,594478,CU | Skink?,1715.5,89
246,275689,WS | DavudTwentySeven (B),1715.2,87
247,2285604,CandyKongLover1,1715.0,87
248,428340,VYRUS | GRNT | Orango,1714.9,49
249,1053442,Baren,1714.5,157
250,1454971,SHU | Mr. L,1714.5,72
251,779312,Cafe,1714.4,38
252,586229,Jules,1713.4,46
253,1864686,Ampersand,1712.8,65
254,245443,coffeebug,1712.8,680
255,185802,GTH | EJJ,1712.5,103
256,1648968,10K | Mulli$,1712.3,106
257,1655542,DeLay,1711.9,194
258,1296894,GTH | Justinjpeg,1711.8,114
259,4907338,Jiggytillwedrop,1711.7,84
260,2583231,GRNT CHP VB3 | Louie,1711.0,211
261,155979,TTD | PolarChan,1710.4,98
262,2020012,MayoNays,1709.8,18
263,54394,FzP | Dukkha,1709.2,92
264,3890634,Xela,1707.4,62
265,1065790,SM | iNsane,1706.1,44
266,5099878,Enigma,1705.9,79
267,757280,Kitty Princess,1704.8,140
268,1804240,.wav | Croix,1704.5,120
269,2086830,DeepShahGaming | Quoge Gaming,1704.0,68
270,1306487,Nik S,1704.0,51
271,1665968,RVL | Bloom | Spiceepicklez,1703.7,78
272,2980064,MMG+ | BIG CRUMB,1703.7,200
273,1902502,SBU | MeKa,1703.4,171
274,2067535,SHU | quackatak,1703.3,75
275,448583,Otaku,1703.2,31
276,2564912,VC | Friegg,1703.0,38
277,4907373,MVA Vicenscian,1701.3,86
278,18802,SR | Kola,1696.9,14
279,3650755,Myth,1696.1,9
280,1871419,SSS | clanc,1695.7,73
281,70210,TRL,1694.3,78
282,2553113,FalcoJoe,1694.2,162
283,160326,TRAIN,1693.8,22
284,1022822,GRNT | Mr.L,1692.1,65
285,172316,Next | Woozie,1692.0,88
286,1412503,MBS | Steffen,1691.3,75
287,27457,PixelVault | NibbyNibbyNub,1690.6,100
288,2168776,Rocco,1690.4,58
289,614049,MouseRat,1690.1,57
290,4122369,HONOR/BTE | INVINCIBLE,1688.5,196
291,3532000,icedragon,1688.5,98
292,3573687,Mr. Matty O,1687.9,64
293,2121485,Kvng,1687.9,125
294,250899,Sigma | | EightONine,1687.5,31
295,4475237,Usual,1687.3,75
296,2465656,loq | gwyn,1686.1,37
297,4317604,WHS | BETA,1685.3,141
298,1070879,Trenko,1684.4,88
299,11136,Rawk,1683.8,71
300,612997,SCB | Tito,1683.8,94
301,2042041,Xen0,1683.1,75
302,4910318,ttvBlitzNYC,1682.5,48
303,4100607,Raccoon | Cody,1682.0,14
304,2330376,OE | Menchu,1681.0,77
305,1309314,slaying mantis,1680.7,84
306,56497,Alo!,1680.0,31
307,65516,Sin | SMB,1679.9,40
308,2093733,ZERO REGRETS | Twitter Gooner,1679.5,50
309,2359922,Booju,1679.5,79
310,240751,Team Wex | Wex,1679.4,262
311,2379973,131 | Ham Burrito,1678.5,106
312,3409938,alex | oliomar player89(OLIMAR),1678.3,30
313,39740,player 4,1677.9,98
314,1229103,MOB | Eliakim,1677.7,691
315,2547733,Antonio,1677.6,140
316,1788561,~NEOS~,1676.8,75
317,4169797,lilpeep,1676.0,10
318,1750056,SuperSanic21,1676.0,143
319,1721948,Wilsports | Queen,1675.7,238
320,54725,naitosharp,1674.7,27
321,265251,Deedha (B),1674.6,89
322,2687729,ODA LVL | turkeyboy2012,1673.8,58
323,1420734,Nowhere,1673.8,52
324,436376,Epic_Gabriel,1673.2,15
325,851857,ENC | SaladDressing,1673.2,69
326,3529377,Bloom/EMWesp | feminine,1672.9,73
327,171393,MNI,1672.1,75
328,1288104,SBU | vanchy,1671.1,141
329,3798390,Acey,1671.1,47
330,3260808,PPP | Pineapple,1670.8,211
331,1108399,cyanzura,1670.4,160
332,1303313,Kqt | narrwall,1670.3,28
333,2252991,Comoli,1669.9,100
334,1595628,FC | G-XTREME,1669.4,226
335,680481,LuffyMK,1669.2,25
