,Pikachu,Joker,Pyra/Mythra,Steve,Palutena,Mr. Game & Watch,Shulk,Zero Suit Samus,Peach,Lucina,Roy,Wolf,Snake,Greninja,Pokemon Trainer,Chrom,Mario,Young Link,Fox,Min Min,Inkling,Pichu,Sonic,Kazuya,Cloud,Diddy Kong,Sephiroth,Mega Man,R.O.B.,Falco,Yoshi,Olimar,Pac-Man,Wario,Link,Ness,Ike,Sheik,Marth,Sora,Samus,Hero,Terry,Captain Falcon,Mii Brawler,Toon Link,Rosalina & Luma,Lucario,Ken,Lucas,Mewtwo,Luigi,Byleth,Bowser,Pit,Ryu,Corrin,Meta Knight,Zelda,Banjo & Kazooie,Villager,Duck Hunt,Simon,Ridley,Wii Fit Trainer,Mii Gunner,Robin,Bayonetta,Isabelle,Jigglypuff,Piranha Plant,Kirby,Ice Climbers,King K. Rool,King Dedede,Incineroar,Mii Swordfighter,Bowser Jr.,Donkey Kong,Dr. Mario,Little Mac,Ganondorf
Snake,0, -0.5, -0.5,0,0, -1.0,+0.5, -0.5,0,0,0,0,,+1.0,0,+0.5,0,0, -1.0,0,0,+1.5,+0.5,0,0,+1.0,+0.5, -0.5,+0.5,+0.5,+1.0,0,+0.5,+0.5,+0.5, -1.0,+1.0,0,+1.0,+0.5,+0.5,0,+0.5,+1.0,+0.5,+0.5,+0.5,+0.5,+0.5, -0.5,+0.5,+1.5,+1.5,+0.5,+0.5,+1.0,+1.5,+0.5,+0.5,+1.0,+0.5,+1.0,+1.0,+1.5,+1.0,0,+1.5,+2.0,+1.0,+2.0,+1.5,+2.0,+2.0,+1.5,+1.5,+1.5,+2.0,+2.0,+2.0,+1.5,+2.0,+2.0
Greninja, -1.0, -0.5,0, -0.5,0,0,0, -0.5, -0.5,0,0,0, -1.0,,0,+0.5,0, -0.5,0,+0.5,0, -0.5,0,0,0, -0.5,+1.0,+0.5,0,+0.5,0,0,0, -0.5,0,0,0,0,+0.5,+1.0,0,+1.0,+0.5,+0.5,+0.5,+0.5,+1.0,+0.5,+0.5,+1.0,+1.0,+1.5,+1.5,+1.5,+1.0,+0.5,+1.0,+1.5,+1.5,+1.5,+1.5,+0.5,+1.0,+1.0,+1.0,+1.0,+1.5,+1.5,+1.0,+1.0,+1.5,+1.5,+1.5,+1.5,+1.5,+1.5,+1.5,+1.5,+2.0,+1.5,+2.0,+2.0
Pokemon Trainer, -0.5,0,0,0,0,0, -0.5,0,0,0,0,0,0,0,,0,0, -1.0,0,0,0,0,0,0,0,0,0, -0.5, -0.5,+0.5,+0.5, -0.5,0,0,0,0,0,+1.0,+0.5,+1.0, -0.5,+1.0,0,+1.0,+0.5,0,+1.5,+0.5,+0.5,+0.5,+1.0,+1.0,+1.0,+0.5,+1.0,+0.5,+1.0,+1.0,+1.5,+1.0,+1.0,+1.0,+1.0,+1.0,+1.0,+1.0,+1.0,+1.5,+1.5,+1.5,+1.5,+1.5,+1.5,+1.5,+2.0,+1.5,+2.0,+2.0,+2.0,+2.0,+2.0,+2.0
Chrom, -0.5, -1.0, -0.5, -1.0,0,+0.5,0,+0.5,0, -0.5,0,+0.5, -0.5, -0.5,0,,0,+0.5,0, -1.0, -0.5,0,+0.5,0,0, -0.5,0,0,+0.5,+0.5,+0.5,+0.5,0,0,+0.5,+1.0,+0.5,0,+0.5,+1.0,0,+0.5,+0.5,+0.5,+0.5,+1.0,+1.5,+0.5,+0.5,+1.0,+1.0,+1.0,+1.0,+0.5,+0.5,+0.5,+1.0,+1.0,+1.5,+0.5,+1.5,+1.5,+1.0,0,+1.0,+1.0,+1.0,+1.0,+1.5,+2.0,+1.5,+1.5,+1.5,+1.5,+1.0,+0.5,+1.5,+1.5,+1.5,+2.0,+2.0,+1.5
Mario,+0.5,0, -1.0, -1.0, -0.5, -0.5, -1.0, -0.5, -0.5, -1.5, -0.5,+0.5,0,0,0,0,,0,+0.5,+0.5,+0.5,+1.0,0,0, -0.5,+1.0,0,+1.0,+1.0,0,0,+0.5,+0.5,0,+0.5,+0.5,+0.5,+1.0, -0.5,0,+1.0,+1.0,+0.5,+1.5,+0.5,+1.0,+0.5,+1.0,+0.5,+0.5,+1.0,0,0,+1.5,+0.5,+1.0,0,+0.5,+0.5,+0.5,+1.5,+1.0,+1.5,+1.0,+1.0,+1.5,+1.5,+1.0,+1.5,+1.5,+1.5,+1.5,+0.5,+2.0,+1.5,+1.5,+1.5,+1.5,+1.5,+0.5,+2.0,+2.0
Young Link,0, -0.5, -1.0, -0.5, -1.0, -0.5, -1.0,0,0, -0.5, -0.5,0,0,+0.5,+1.0, -0.5,0,,0,0,0,0,0,0,0,+0.5,0, -0.5,+1.0,0,0,0,0,0,0,0,+0.5,+0.5,0,+1.0,+0.5,0,+0.5,+0.5,+1.0,+0.5,+0.5,0,+0.5,+0.5,+0.5,+1.0,+1.0,+1.5,+1.0,+0.5,+0.5,+1.0,+0.5,+1.0,+0.5,+0.5,+1.0,+1.5,+1.0,+1.0,+1.0,+1.5,+1.5,+1.5,+1.5,+1.5,+1.5,+1.5,+2.0,+2.0,+1.5,+2.0,+2.0,+1.5,+2.0,+2.0
Fox, -0.5, -1.0, -0.5, -1.0,0, -0.5, -1.0,0, -0.5, -1.0,0,0,+1.0,0,0,0, -0.5,0,,+0.5,+1.0,0,+1.0, -1.0,0,+0.5,+1.0,+1.0,+0.5,0, -0.5,+0.5,+0.5,0,+1.0,0,0,+1.0,0,0,+1.5,+1.5, -0.5,+0.5,0,+1.0,0,+0.5, -1.0,+1.0,+1.0, -1.0,+1.5,0,+1.0, -0.5,+1.5,+1.0,+1.0,+1.5,+1.0,+2.0,+2.0,+1.0,+1.5,+2.0,+2.0,+1.0,+1.5,+0.5,+2.0,+0.5,0,+2.0,+2.0,+1.0,+2.0,+1.5,+2.0,+1.0,+2.0,+2.0
Min Min, -1.5, -0.5,+0.5,0, -0.5, -1.0,0, -0.5,0,+0.5,0, -0.5,0, -0.5,0,+1.0, -0.5,0, -0.5,, -0.5, -0.5, -0.5,+1.5,+1.0,0,+1.0,0, -0.5,0, -0.5,+0.5,0, -0.5,+0.5,+0.5,+1.5, -1.0,+1.0,+0.5,0,+1.0,+1.0,0,0,+0.5,+1.0,+0.5,+1.0,+1.0,+1.0,+0.5,+1.5,0,0,+1.0,+1.0,+0.5,+0.5,+0.5,+1.0,+1.0,+1.0,+1.5,+1.0,+1.5,+1.0,+0.5,+1.5,0,+1.5,+1.0,+1.5,+1.5,+2.0,+1.5,+1.5,+1.5,+1.5,+2.0,+2.0,+2.0
Inkling, -0.5,+0.5, -0.5, -1.0,0, -0.5,0,+0.5, -0.5,0,0,+0.5,0,0,0,+0.5, -0.5,0, -1.0,+0.5,,0,+0.5,0,+1.0,0,+0.5,0, -0.5,0, -1.0, -0.5,0,0,+0.5,0,0,+0.5,+1.0,+0.5,0,+0.5,+0.5,+1.5,0,+0.5,0,0,+0.5,+0.5,+0.5,+1.0,+1.0,+0.5,+0.5,+0.5,+0.5,+1.0,+1.0,+0.5,+0.5,+0.5,+2.0,+1.0,+1.0,+1.0,+2.0,+1.5,+1.0,+1.0,+1.0,+1.0,+1.0,+1.5,+1.5,+1.5,+2.0,+1.5,+2.0,+1.5,+2.0,+2.0
Pichu, -1.0,+0.5,0, -0.5,0, -1.5,0,+1.0, -1.0,0,+1.0,0, -1.5,+0.5,0,0, -1.0,0,0,+0.5,0,,+0.5, -0.5,+1.0,0,+0.5,0,0,+1.0, -0.5, -0.5, -1.0,0,+0.5, -0.5,+0.5,+1.5,+0.5,+1.0,0,+0.5,+0.5,+1.0,+0.5,+0.5,0,+0.5,+2.0, -0.5,+0.5,+1.0,+1.5,+0.5,+1.0,+2.0,+0.5,+1.0,+1.5,+0.5,+0.5,+0.5,+2.0,+1.0,+1.0,+0.5,+1.5,+2.0,+1.0,0,+1.0,0,0,+1.0,+1.0,+1.0,+2.0,+1.5,+1.5,+0.5,+2.0,+2.0
