,Pikachu,Joker,Pyra/Mythra,Steve,Palutena,Mr. Game & Watch,Shulk,Zero Suit Samus,Peach,Lucina,Roy,Wolf,Snake,Greninja,Pokemon Trainer,Chrom,Mario,Young Link,Fox,Min Min,Inkling,Pichu,Sonic,Kazuya,Cloud,Diddy Kong,Sephiroth,Mega Man,R.O.B.,Falco,Yoshi,Olimar,Pac-Man,Wario,Link,Ness,Ike,Sheik,Marth,Sora,Samus,Hero,Terry,Captain Falcon,Mii Brawler,Toon Link,Rosalina & Luma,Lucario,Ken,Lucas,Mewtwo,Luigi,Byleth,Bowser,Pit,Ryu,Corrin,Meta Knight,Zelda,Banjo & Kazooie,Villager,Duck Hunt,Simon,Ridley,Wii Fit Trainer,Mii Gunner,Robin,Bayonetta,Isabelle,Jigglypuff,Piranha Plant,Kirby,Ice Climbers,King K. Rool,King Dedede,Incineroar,Mii Swordfighter,Bowser Jr.,Donkey Kong,Dr. Mario,Little Mac,Ganondorf
Pac-Man,0, -1.0,0,0, -1.0, -0.5, -1.0, -0.5,+0.5,0, -0.5, -0.5, -0.5,0,0,0, -0.5,0, -0.5,0,0,+1.0,0,0, -0.5,+1.0,0,0, -0.5, -1.0,0,+0.5,, -0.5,0,0,0,+0.5,+0.5,0,+0.5, -0.5,0,0,+0.5,+0.5, -0.5, -0.5,+0.5,0,0,+1.5,+1.5,+0.5,+0.5,+1.0,+0.5,+0.5,0,+0.5, -0.5,+0.5,+0.5,+1.5,+0.5,+0.5,0,+1.0,0,+1.5,+1.0,+0.5,+1.5,+1.5,+2.0,+1.5,+1.0,+1.5,+2.0,+1.0,+2.0,+2.0
Wario, -0.5, -0.5, -1.0, -0.5, -0.5, -0.5, -1.0, -0.5, -0.5, -1.0,0,0, -0.5,+0.5,0,0,0,0,0,+0.5,0,0, -0.5, -1.0, -1.0,+0.5, -1.0,+0.5,0,+0.5,0, -0.5,+0.5,, -0.5,0, -0.5,+0.5, -1.0,0, -0.5,0,+0.5,+0.5,+0.5,0,0,+1.5,+0.5,0,0,0,0,+1.5,+0.5,+0.5,0,+0.5,+0.5,+1.0,+0.5,+0.5,+1.0,+1.0,+1.0,+1.0,+0.5,+1.0,+1.0,+1.0,+1.0,+1.0,0,+2.0,+1.5,+1.5,+1.5,+1.5,+1.5,+1.5,+2.0,+1.5
Link, -1.0, -1.0, -1.0,0, -0.5, -0.5, -0.5, -0.5, -0.5, -1.0, -0.5, -1.0, -0.5,0,0, -0.5, -0.5,0, -1.0, -0.5, -0.5, -0.5,0,0,0,0,0,0,0,0,0,+0.5,0,+0.5,,0,0, -0.5,0,0,0,0,0,0,+0.5,+0.5,+0.5,+0.5,0,0,0,+0.5,+1.0,+0.5,0,0,+0.5,+1.0,0,+0.5,+0.5,+0.5,+0.5,+1.0,+1.0,+0.5,+1.0,+1.5,+1.0,+1.5,+1.5,+1.0,+1.5,+1.5,+1.5,+1.5,+1.0,+1.5,+1.5,+1.5,+2.0,+2.0
Ness,+0.5, -1.0, -1.0, -1.5, -1.5, -1.5, -1.5, -0.5, -1.0, -1.5, -0.5,0,+1.0,0,0, -1.0, -0.5,0,0, -0.5,0,+0.5,0,0, -0.5,0, -1.0,0,0,0, -0.5,0,0,0,0,, -0.5,0, -1.5,0,+1.0,0,+0.5,+0.5,+0.5,0, -1.0,+1.0,+0.5,0,0,+0.5,0,+1.0,+0.5,+1.0,0,+0.5,0,+1.0,0,+1.5,+1.0,+1.0,+1.5,+1.5,+1.0,+1.0,0,+1.5,+1.5,+1.5,+1.5,+2.0,+1.5,+1.5,+1.0,+1.5,+1.5,+1.5,+2.0,+2.0
Ike, -0.5, -1.5, -1.0, -0.5, -0.5,+1.5,0, -1.0,0, -1.0, -1.0,0, -1.0,0,0, -0.5, -0.5, -0.5,0, -1.5,0, -0.5,0,0,0, -0.5,0, -1.0, -1.0,0,+1.0,0,0,+0.5,0,+0.5,, -0.5,0,+0.5,0,0,0,0,+0.5,0,0,+1.0,0,+0.5,+0.5,+0.5, -0.5,0,+0.5,0,0,+1.5,+1.0,+0.5,+1.5,0,+0.5,0,+1.0,+0.5,0,+1.0,+1.5,+2.0,+1.0,+2.0,+1.5,+1.5,+1.0,+1.0,+1.5,+1.5,+0.5,+2.0,+2.0,+1.0
Sheik, -1.5,0,+0.5,0, -0.5, -1.0, -0.5,0,0,0,0, -1.0,0,0, -1.0,0, -1.0, -0.5, -1.0,+1.0, -0.5, -1.5, -0.5,0,+0.5,0,+1.5,0,+0.5,0, -1.0, -1.5, -0.5, -0.5,+0.5,0,+0.5,,+1.0,+1.0,+0.5,+0.5,0,0,0,0, -0.5, -0.5,0,0,0,0,+1.5,0,+0.5,+0.5,+0.5,+0.5,+1.5,+0.5,+1.0,+1.0,+1.5,0,0,+1.0,+1.5,+0.5,+1.0,0,0,0, -1.5,+0.5,+1.0,+1.0,+1.5,+1.5,+1.5,+1.0,+1.5,+1.0
Marth, -1.0, -1.0, -0.5, -0.5, -0.5,+0.5,0, -1.0, -0.5,0, -0.5, -0.5, -1.0, -0.5, -0.5, -0.5,+0.5,0,0, -1.0, -1.0, -0.5, -0.5,0,0, -1.0, -0.5, -0.5,0,0,+0.5, -1.0, -0.5,+1.0,0,+1.5,0, -1.0,,0, -0.5,0,+0.5,0,+0.5,+0.5,0,0,0,+0.5,+0.5,+0.5,0,0,+0.5,0,+0.5,+0.5,+0.5,+0.5,+0.5,0,0,+0.5,+0.5,+0.5,+0.5,+0.5,+1.5,+2.0,+0.5,+1.5,+1.0,+1.0,+0.5,+1.0,+1.5,+1.5,0,+2.0,+2.0,+2.0
Sora, -1.0, -1.0, -1.0, -1.0, -1.0, -0.5,0, -1.0,0, -0.5, -1.0, -0.5, -0.5, -1.0, -1.0, -1.0,0, -1.0,0, -0.5, -0.5, -1.0, -1.0, -0.5, -0.5, -1.0, -1.0,0, -0.5,+0.5,0,+0.5,0,0,0,0, -0.5, -1.0,0,, -0.5,0,+0.5,0,0,+0.5,+1.0,0,+0.5,+0.5,0,0,0,+0.5,+0.5,+1.0,+1.0,+0.5,+0.5,+1.0,+1.0,+1.0,0,+0.5,+1.0,+1.0,0,+0.5,+1.0,+0.5,+1.0,+1.0,+1.5,+1.0,+1.5,+1.5,+1.0,+1.5,+1.5,+1.0,+1.0,+1.5
Samus, -1.0, -1.0, -0.5, -0.5, -1.5, -1.5,0, -1.0, -0.5,0, -0.5, -1.5, -0.5,0,+0.5,0, -1.0, -0.5, -1.5,0,0,0,0,0, -0.5, -0.5,0, -0.5, -1.0, -1.0,0, -2.0, -0.5,+0.5,0, -1.0,0, -0.5,+0.5,+0.5,,0,+0.5,0,0,0, -0.5,0,+0.5, -0.5, -0.5,+2.0,+1.5,+1.5,0,+0.5,+1.5,+0.5, -0.5,+0.5, -1.0, -1.0,0,+1.5,+0.5, -0.5,+0.5,+0.5,0,+1.5,+1.0,+1.5,+1.5,+1.5,+1.5,+2.0,+1.0,+1.5,+2.0,+1.0,+2.0,+2.0
Hero, -1.5, -1.0, -1.0,0, -1.0,0, -0.5, -1.5, -1.0, -1.0, -1.0, -1.0,0, -1.0, -1.0, -0.5, -1.0,0, -1.5, -1.0, -0.5, -0.5, -0.5, -0.5,0, -0.5, -0.5,0, -0.5, -0.5,0,+0.5,+0.5,0,0,0,0, -0.5,0,0,0,, -1.0, -1.0,0,+0.5,+1.0,0, -0.5,+0.5,0,+1.0,0,0,0,0,0,0,+1.0,+0.5,+1.0,+1.5,+0.5,0,+0.5,+1.0,0,+0.5,+1.0,+0.5,+1.0,+1.0,+1.5,+1.5,+1.0,+2.0,+1.0,+1.5,0,+2.0,+1.5,+2.0
Terry, -1.5, -1.0, -1.0, -1.0, -0.5, -1.0, -1.0, -0.5, -0.5, -0.5, -0.5,0, -0.5, -0.5,0, -0.5, -0.5, -0.5,+0.5, -1.0, -0.5, -0.5, -0.5, -0.5,0,0,0, -0.5, -0.5,0,0,0,0, -0.5,0, -0.5,0,0, -0.5, -0.5, -0.5,+1.0,,+0.5,0,+0.5,0,+0.5,0,+0.5,+1.0,0,0,0,+1.0,0,+0.5,+0.5,+0.5,+0.5,+1.0,0,0,0,0,+1.0,0,+1.0,+1.0,0,+1.0,0,+0.5,+1.0,+1.0,+1.0,+1.0,+1.5,+1.0,+1.0,+1.0,+1.0
Captain Falcon, -1.5, -0.5, -0.5, -1.0, -0.5, -2.0,0, -1.0, -1.0, -0.5, -0.5, -0.5, -1.0, -0.5, -1.0, -0.5, -1.5, -0.5, -0.5,0, -1.5, -1.0,0, -1.0,0, -0.5,0, -0.5, -0.5,0, -1.0, -0.5,0, -0.5,0, -0.5,0,0,0,0,0,+1.0, -0.5,,0,0,0,0,0,0,+0.5, -0.5,+1.0,+1.0,+1.0,0,+1.0,+0.5,+0.5,+0.5,+1.0,+0.5,+1.0,+0.5,0,+1.0,+1.5,+0.5,+1.0,0,+1.0,0,0,+1.5,+1.0,+1.0,+1.5,+1.5,+1.0,+1.0,+1.5,+2.0
Mii Brawler, -0.5, -1.0, -0.5, -0.5, -0.5, -0.5, -1.5, -0.5, -0.5, -1.0, -1.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -1.0,0,0,0, -0.5,0, -0.5, -0.5,0,0, -1.0,0,0, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5,0, -0.5,0,0,0,0,0,,0,0,0,0,0,+0.5,0,0,0,0,0,+0.5,+0.5,+0.5,+0.5,+0.5,+1.0,+0.5,+1.0,+1.0,+0.5,+1.0,+1.0,+0.5,+0.5,+0.5,+0.5,+0.5,+1.0,+1.0,+1.0,+0.5,+1.0,+0.5,+1.0,+1.5,+1.0
Toon Link, -1.0, -1.5, -1.5, -1.0, -1.0, -1.5, -1.0, -1.0, -0.5, -1.0, -0.5, -1.0, -0.5, -0.5,0, -1.0, -1.0, -0.5, -1.0, -0.5, -0.5, -0.5, -0.5,0, -1.0,0, -0.5, -0.5, -0.5, -1.0, -0.5,0, -0.5,0, -0.5,0,0,0, -0.5, -0.5,0, -0.5, -0.5,0,0,,0,0,0,0,0,+0.5,0,+1.0,0,0,0,+0.5,0,0,+0.5,0,0,+1.0,0,+0.5,0,+1.0,+0.5,+1.5,+0.5,+1.0,+1.5,+1.5,+1.5,+1.5,+1.0,+1.5,+2.0,+1.0,+2.0,+2.0
Rosalina & Luma, -0.5, -1.5, -1.5, -1.0, -1.0, -0.5, -0.5, -1.0, -1.0, -1.0, -1.0, -1.0, -0.5, -1.0, -1.5, -1.5, -0.5, -0.5,0, -1.0,0,0, -0.5, -1.5, -1.0,0, -1.5,0,0,0, -0.5,0,+0.5,0, -0.5,+1.0,0,+0.5,0, -1.0,+0.5, -1.0,0,0,0,0,,0,+0.5,0,0,+0.5, -1.0,0,0,+1.0, -0.5, -0.5,+0.5,0,+1.0,+0.5,0,0,+0.5,+1.0,+0.5,0,+1.0,+0.5,+1.0,+1.0,+1.0,+1.0,+0.5,+1.0,+0.5,+1.0,+1.5,+1.0,+2.0,+1.5
Lucario, -0.5, -1.0,0, -1.0, -1.0, -1.0, -1.0, -0.5, -1.0, -0.5, -1.5, -1.0, -0.5, -0.5, -0.5, -0.5, -1.0,0, -0.5, -0.5,0, -0.5,0, -1.5, -0.5,0, -0.5,+1.0, -0.5,0,0,0,+0.5, -1.5, -0.5, -1.0, -1.0,+0.5,0,0,0,0, -0.5,0,0,0,0,, -0.5, -0.5,0,0,0, -0.5,+1.0,0,0,+0.5,0,+0.5,+0.5,+1.0,+1.0,0,0,+1.0,+0.5,+1.5,+1.0,+0.5,+1.0,+1.5,+1.0,+0.5,+1.0,+0.5,+1.0,+0.5,0,0,+1.5,0
Ken, -2.0, -0.5, -1.0, -1.5, -0.5, -1.0, -0.5, -0.5, -0.5, -1.0, -0.5,+0.5, -0.5, -0.5, -0.5, -0.5, -0.5, -0.5,+1.0, -1.0, -0.5, -2.0, -0.5, -1.0, -0.5, -0.5, -0.5,0, -0.5,0, -0.5,0, -0.5, -0.5,0, -0.5,0,0,0, -0.5, -0.5,+0.5,0,0,0,0, -0.5,+0.5,,0,+0.5, -0.5,0,0,+1.0,0,+0.5,+1.0,+0.5,+0.5,0,0,+0.5,0,0,+0.5,+1.0,+1.0,+1.0,+0.5,+0.5,0,+0.5,+0.5,+1.0,+1.0,+1.0,0,+1.0,+1.0,+1.0,+1.0
Lucas,0, -1.5, -0.5, -2.0, -1.5, -1.5, -1.5, -1.0, -1.5, -1.0, -0.5, -0.5,+0.5, -1.0, -0.5, -1.0, -0.5, -0.5, -1.0, -1.0, -0.5,+0.5, -0.5, -1.0, -0.5, -0.5, -0.5,0, -0.5, -0.5, -0.5, -0.5,0,0,0,0, -0.5,0, -0.5, -0.5,+0.5, -0.5, -0.5,0,0,0,0,+0.5,0,,0,+0.5,0,0,0,+0.5,0,0,0,+0.5,0,+0.5,0,+0.5,0,+0.5,+0.5,+1.0,0,+0.5,+0.5,+0.5,+1.0,+1.5,+1.5,+1.5,+1.0,+1.5,+1.5,+1.5,+2.0,+2.0
Mewtwo, -0.5, -1.0, -1.0, -1.0, -1.0, -1.5,0, -1.0, -1.0, -1.5, -1.5, -1.0, -0.5, -1.0, -1.0, -1.0, -1.0, -0.5, -1.0, -1.0, -0.5, -0.5,0, -1.0,0, -1.0, -0.5,0,0, -1.5, -1.0, -0.5,0,0,0,0, -0.5,0, -0.5,0,+0.5,0, -1.0, -0.5, -0.5,0,0,0, -0.5,0,,0,0,0,+0.5,0,0,+1.0,+0.5,+0.5,+0.5,+1.0,+1.0,+0.5,0,+1.0,+0.5,+1.0,+1.0,+0.5,+1.0,+1.0,+0.5,+1.5,+1.0,+1.5,+1.0,+1.5,0,+1.0,+1.5,+1.5
Luigi, -1.0, -1.0, -1.0, -1.0, -1.0, -0.5, -1.5, -1.5, -0.5, -1.5, -0.5,0, -1.5, -1.5, -1.0, -1.0,0, -1.0,+1.0, -0.5, -1.0, -1.0,0,0, -1.0,0, -1.0, -1.5, -1.0,+0.5,0, -0.5, -1.5,0, -0.5, -0.5, -0.5,0, -0.5,0, -2.0, -1.0,0,+0.5,0, -0.5, -0.5,0,+0.5, -0.5,0,,0,+1.0,0,+1.0,0,+0.5,0,0, -0.5, -1.0, -1.0,+0.5, -0.5, -0.5, -0.5,+1.0,+1.0,+1.0,0,+1.5,0,+0.5,+1.5,+1.5,+1.0,+1.0,+1.5,+1.5,+2.0,+1.5
Byleth, -2.0, -1.5, -1.0, -0.5, -1.5,0, -0.5, -1.5, -1.5, -0.5, -1.0, -1.0, -1.5, -1.5, -1.0, -1.0,0, -1.0, -1.5, -1.5, -1.0, -1.5, -1.5, -0.5, -0.5, -1.5,0, -1.0, -1.0, -0.5,0, -1.0, -1.5,0, -1.0,0,+0.5, -1.5,0,0, -1.5,0,0, -1.0,0,0,+1.0,0,0,0,0,0,,0,0,0,+0.5,0,+0.5,0,0,0,0,0,0,0,+0.5,+1.5,+1.0,+0.5,+0.5,+1.0,+1.5,0,+1.5,+1.5,+1.5,+0.5,+2.0,+2.0,+1.5,+1.5
Bowser, -1.5, -1.0, -1.0, -1.5, -1.5, -0.5, -1.0, -1.5, -1.5, -1.0, -1.0, -0.5, -0.5, -1.5, -0.5, -0.5, -1.5, -1.5,0,0, -0.5, -0.5, -0.5, -1.5, -1.0,0,0, -1.0, -1.0, -1.0,0,0, -0.5, -1.5, -0.5, -1.0,0,0,0, -0.5, -1.5,0,0, -1.0,0, -1.0,0,+0.5,0,0,0, -1.0,0,,+1.0,0,+0.5,+0.5,0,0,0,0,0,0,0,0,0,0,+1.0,+1.5,+0.5,+1.5,+1.0,+0.5,0,0,+1.0,+0.5,+0.5,+1.5,+2.0,+0.5
Pit, -1.5, -1.5, -1.0, -1.5, -0.5, -1.5, -1.0, -1.5, -1.5, -1.0, -1.0, -0.5, -0.5, -1.0, -1.0, -0.5, -0.5, -1.0, -1.0,0, -0.5, -1.0, -1.0, -1.0,0, -0.5, -1.0, -0.5, -0.5, -0.5, -1.0, -0.5, -0.5, -0.5,0, -0.5, -0.5, -0.5, -0.5, -0.5,0,0, -1.0, -1.0,0,0,0, -1.0, -1.0,0, -0.5,0,0, -1.0,,0,0,0,+1.0,0,+1.0,+0.5,0,0,0,+0.5,+0.5,0,+1.0,+0.5,+0.5,+0.5,+0.5,+1.0,+0.5,+0.5,+1.0,+1.0,0,+1.0,+1.5,+1.5
Ryu, -2.0, -1.0, -1.5, -1.5, -1.0, -1.5, -0.5, -1.0, -1.0, -1.0, -1.0,0, -1.0, -0.5, -0.5, -0.5, -1.0, -0.5,+0.5, -1.0, -0.5, -2.0, -1.0, -1.0, -1.0, -0.5, -1.0, -0.5, -0.5,0,0, -0.5, -1.0, -0.5,0, -1.0,0, -0.5,0, -1.0, -0.5,0,0,0,0,0, -1.0,0,0, -0.5,0, -1.0,0,0,0,,+0.5,+0.5,+0.5,0,0, -0.5,0,0, -0.5,0,+0.5,+0.5,+1.0,+0.5,+0.5,+0.5,0,+0.5,+0.5,+1.0,+1.0,+1.0,+1.5,+1.5,+1.5,+0.5
Corrin, -1.5, -1.5, -1.5, -1.0, -1.5,0, -1.0, -1.0, -1.5, -1.0, -1.5, -1.5, -1.5, -1.0, -1.0, -1.0,0, -0.5, -1.5, -1.0, -0.5, -0.5, -1.0, -1.5, -0.5, -1.5, -1.0, -1.0, -0.5, -0.5,0,0, -0.5,0, -0.5,0,0, -0.5, -0.5, -1.0, -1.5,0, -0.5, -1.0, -0.5,0,+0.5,0, -0.5,0,0,0, -0.5, -0.5,0, -0.5,,0,0,0,+1.0,0,0,0,+0.5,0,0,0,+1.0,+0.5,0,+0.5,+1.0,0,+0.5,+1.0,+1.0,+1.0,+0.5,+1.0,+1.5,+1.0
Meta Knight, -1.0, -1.0, -1.0, -1.5, -1.0,0, -1.0, -1.5, -1.0, -1.0, -1.0, -1.0, -0.5, -1.5, -1.0, -1.0, -0.5, -1.0, -1.0, -0.5, -1.0, -1.0, -0.5, -0.5, -0.5, -1.0, -1.0, -0.5,0, -0.5, -1.0, -0.5, -0.5, -0.5, -1.0, -0.5, -1.5, -0.5, -0.5, -0.5, -0.5,0, -0.5, -0.5, -0.5, -0.5,+0.5, -0.5, -1.0,0, -1.0, -0.5,0, -0.5,0, -0.5,0,,+0.5,0,+0.5,0,+0.5,0,0,0,0,0,+1.0,+1.5,0,+1.0,+0.5,+0.5,0,+1.0,+1.0,+0.5,+1.0,+1.0,+1.5,+1.5
Zelda, -1.5, -1.5, -1.5, -1.0, -1.5, -1.0, -1.5, -2.0, -1.5, -1.5, -1.5, -1.5, -0.5, -1.5, -1.5, -1.5, -0.5, -0.5, -1.0, -0.5, -1.0, -1.5, -1.5, -0.5, -1.0, -1.0, -1.0, -1.0,0, -1.0, -1.0,+0.5,0, -0.5,0,0, -1.0, -1.5, -0.5, -0.5,+0.5, -1.0, -0.5, -0.5, -0.5,0, -0.5,0, -0.5,0, -0.5,0, -0.5,0, -1.0, -0.5,0, -0.5,,0,0,+1.0,+0.5,0,0,+1.0,0,0,+0.5,+0.5,+1.0,+1.0,+1.5,+1.0,+1.5,+1.5,+1.5,+1.0,+1.0,+1.5,+1.5,+1.5
Banjo & Kazooie, -1.5, -1.5, -1.0, -1.0, -1.0, -1.5, -1.0, -1.0, -0.5, -1.0, -1.0, -1.5, -1.0, -1.5, -1.0, -0.5, -0.5, -1.0, -1.5, -0.5, -0.5, -0.5,0, -1.5,0,0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -0.5, -1.0, -0.5, -1.0, -0.5, -0.5, -0.5, -1.0, -0.5, -0.5, -0.5, -0.5, -0.5,0,0, -0.5, -0.5, -0.5, -0.5,0,0,0,0,0,0,0,0,, -0.5,0,+0.5,0, -0.5,+1.0,0,+0.5,0,0,+1.0,+1.0,+1.0,+0.5,+1.5,+1.0,+1.0,+1.5,+1.5,+1.0,+1.5,+2.0
Villager, -1.0, -1.5, -1.5, -1.5, -1.5, -1.5, -1.5, -1.5, -0.5, -1.5, -1.5, -1.5, -0.5, -1.5, -1.0, -1.5, -1.5, -0.5, -1.0, -1.0, -0.5, -0.5, -1.0, -2.0, -1.0, -0.5, -1.0, -1.0,0, -1.5, -0.5, -0.5,+0.5, -0.5, -0.5,0, -1.5, -1.0, -0.5, -1.0,+1.0, -1.0, -1.0, -1.0, -0.5, -0.5, -1.0, -0.5,0,0, -0.5,+0.5,0,0, -1.0,0, -1.0, -0.5,0,+0.5,,+0.5,+0.5,0,+1.0,+0.5,+0.5,0,0,0,+1.5,0,+1.0,+0.5,+1.5,+1.0,+0.5,+1.5,+1.5,+0.5,+1.0,+2.0
Duck Hunt, -1.0, -1.5, -1.0, -1.0, -1.5, -1.5, -1.5, -1.0, -0.5, -1.0, -1.0, -2.0, -1.0, -0.5, -1.0, -1.5, -1.0, -0.5, -2.0, -1.0, -0.5, -0.5, -0.5, -1.0, -1.0,0, -0.5, -1.0, -1.0, -1.5, -1.0, -0.5, -0.5, -0.5, -0.5, -1.5,0, -1.0,0, -1.0,+1.0, -1.5,0, -0.5, -1.0,0, -0.5, -1.0,0, -0.5, -1.0,+1.0,0,0, -0.5,+0.5,0,0, -1.0,0, -0.5,,0,0,0,0,+0.5,+1.0, -0.5,0,+0.5,+0.5,+1.0,+0.5,+1.5,+1.0,+0.5,+1.0,+2.0,+1.0,+1.5,+1.5
Simon, -2.0, -1.5, -1.5, -0.5, -1.5, -1.5, -1.5, -1.5, -1.5,0, -1.0, -2.0, -1.0, -1.0, -1.0, -1.0, -1.5, -1.0, -2.0, -1.0, -2.0, -2.0, -1.0, -0.5,0,0, -0.5, -1.0, -1.5, -2.0, -1.5,+0.5, -0.5, -1.0, -0.5, -1.0, -0.5, -1.5,0,0,0, -0.5,0, -1.0, -0.5,0,0, -1.0, -0.5,0, -1.0,+1.0,0,0,0,0,0, -0.5, -0.5, -0.5, -0.5,0,,0,0,0,0, -0.5,0,0,+0.5,+0.5,+2.0,+0.5,+1.5,+1.5,+1.0,+1.0,+1.0,+1.5,+1.5,+2.0
Ridley, -1.5, -1.5, -0.5, -1.5, -1.5, -1.0, -1.0, -1.5, -1.5, -1.0, -0.5, -0.5, -1.5, -1.0, -1.0,0, -1.0, -1.5, -1.0, -1.5, -1.0, -1.0, -1.0, -1.0, -0.5, -0.5, -1.0, -1.5, -2.0, -1.0, -0.5, -1.0, -1.5, -1.0, -1.0, -1.0,0,0, -0.5, -0.5, -1.5,0,0, -0.5, -1.0, -1.0,0,0,0, -0.5, -0.5, -0.5,0,0,0,0,0,0,0,0,0,0,0,,0,0,0, -0.5,+1.0,+1.0,0,+1.0,0,0,0,+1.0,+0.5,+0.5,0,+1.5,+2.0,+1.5
Wii Fit Trainer, -2.0, -1.5, -1.5, -1.5, -1.0, -1.5, -1.0, -0.5, -1.0, -1.0, -1.0, -1.5, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.5, -1.0, -1.0, -1.0, -0.5, -0.5, -1.5, -1.0, -1.0, -0.5, -0.5, -1.5, -1.0, -1.0, -0.5, -1.0, -1.0, -1.5, -1.0,0, -0.5, -1.0, -0.5, -0.5,0,0, -1.0,0, -0.5,0,0,0,0,+0.5,0,0,0,+0.5, -0.5,0,0,+0.5, -1.0,0,0,0,,0,+0.5,+0.5,0,0,+0.5, -1.5,+1.0,+0.5,+1.0,+1.0,+0.5,+1.0,+1.5,+0.5,+1.5,+1.5
Mii Gunner, -1.5, -1.5, -1.0, -1.5, -1.5, -1.5, -1.0, -1.5, -1.5, -1.0, -1.0, -2.0,0, -1.0, -1.0, -1.0, -1.5, -1.0, -2.0, -1.5, -1.0, -0.5, -1.5, -1.0, -0.5,0, -0.5, -0.5, -1.5, -2.0, -1.0, -1.0, -0.5, -1.0, -0.5, -1.5, -0.5, -1.0, -0.5, -1.0,+0.5, -1.0, -1.0, -1.0, -0.5, -0.5, -1.0, -1.0, -0.5, -0.5, -1.0,+0.5,0,0, -0.5,0,0,0, -1.0, -1.0, -0.5,0,0,0,0,,0,0,0,0,+0.5,+0.5,+1.5,0,+0.5,+1.0,+0.5,+1.0,+1.0,+0.5,+1.0,+1.5
Robin, -2.0, -1.5, -1.5, -1.0, -1.5, -1.5, -1.0, -1.5, -1.5, -1.0, -1.5, -1.5, -1.5, -1.5, -1.0, -1.0, -1.5, -1.0, -2.0, -1.0, -2.0, -1.5, -1.5, -0.5, -1.5, -1.5, -0.5, -1.0, -0.5, -1.5, -1.0, -1.5,0, -0.5, -1.0, -1.0,0, -1.5, -0.5,0, -0.5,0,0, -1.5, -1.0,0, -0.5, -0.5, -1.0, -0.5, -0.5,+0.5, -0.5,0, -0.5, -0.5,0,0,0,0, -0.5, -0.5,0,0, -0.5,0,,0,0,0,0,0,+1.0,+0.5,0,+1.5,+1.0,+1.0,+1.5,+1.0,+0.5,+1.5
Bayonetta, -2.0, -1.5, -1.5, -1.0, -0.5, -1.5, -1.5, -0.5, -1.5, -1.5, -1.5, -1.5, -2.0, -1.5, -1.5, -1.0, -1.0, -1.5, -1.0, -0.5, -1.5, -2.0, -1.5, -1.5, -0.5, -1.5, -1.0, -1.0,+0.5, -0.5, -1.5, -1.5, -1.0, -1.0, -1.5, -1.0, -1.0, -0.5, -0.5, -0.5, -0.5, -0.5, -1.0, -0.5, -1.0, -1.0,0, -1.5, -1.0, -1.0, -1.0, -1.0, -1.5,0,0, -0.5,0,0,0, -0.5,0, -1.0,+0.5,+0.5, -0.5,0,0,,0,0,0,0,0,+0.5,+0.5,+0.5,+0.5,+0.5,+0.5,+0.5,+1.0,+1.0
Isabelle, -1.5, -1.5, -2.0, -1.5, -1.5, -1.5, -1.5, -1.5, -1.0, -1.5, -1.5, -1.5, -1.0, -1.0, -1.5, -1.5, -1.5, -1.5, -1.5, -1.5, -1.0, -1.0, -1.5, -1.5, -1.0, -1.0, -1.5, -1.5,0, -1.5, -1.5, -1.0,0, -1.0, -1.0,0, -1.5, -1.0, -1.5, -1.0,0, -1.0, -1.0, -1.0, -0.5, -0.5, -1.0, -1.0, -1.0,0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -1.0, -0.5,0,0,+0.5,0, -1.0,0,0,0,0,, -1.0,+1.5,0,+0.5,+0.5,+1.0,+1.0,0,+0.5,0,0,+1.0,+1.5
Jigglypuff, -1.0, -1.5, -1.5, -1.5, -1.5, -1.5, -1.5, -1.5, -1.5, -2.0, -1.5, -1.0, -2.0, -1.0, -1.5, -2.0, -1.5, -1.5, -0.5,0, -1.0,0, -1.5, -1.0, -2.0, -1.0, -1.5, -1.5, -1.0, -0.5, -2.0, -1.5, -1.5, -1.0, -1.5, -1.5, -2.0,0, -2.0, -0.5, -1.5, -0.5,0,0, -0.5, -1.5, -0.5, -0.5, -0.5, -0.5, -0.5, -1.0, -0.5, -1.5, -0.5, -0.5, -0.5, -1.5, -0.5,0,0,0,0, -1.0,0,0,0,0,+1.0,, -1.0,0,0,0, -0.5,+0.5,+0.5,0, -0.5,+0.5,+1.5,+0.5
Piranha Plant, -1.5, -1.5, -2.0, -2.0, -1.5, -1.5, -1.5, -1.5, -1.5, -1.5, -1.5, -2.0, -1.5, -1.5, -1.5, -1.5, -1.5, -1.5, -2.0, -1.5, -1.0, -1.0, -1.0, -1.5, -1.5, -1.0, -1.5, -1.0, -1.5, -2.0, -1.0,0, -1.0, -1.0, -1.5, -1.5, -1.0,0, -0.5, -1.0, -1.0, -1.0, -1.0, -1.0, -0.5, -0.5, -1.0, -1.0, -0.5, -0.5, -1.0,0, -0.5, -0.5, -0.5, -0.5,0,0, -1.0, -1.0, -1.5, -0.5, -0.5,0, -0.5, -0.5,0,0, -1.5,+1.0,,0,+0.5,0,0,+0.5,+0.5,0,+1.0,+0.5,+1.0,+1.0
